POS,#,Name,Inf,ORG,Age,B,T,OVR,CON,BABIP,GAP,POW,EYE,K's,CON vL,POW vL,CON vR,POW vR,BUN,BFH,STU,CON,PBABIP,HRR,PIT,STM,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,STE,DEF,G,PA,AB,AVG,OBP,SLG,wOBA,OPS,OPS+,BABIP,WPA,wRC,wRC+,wRAA,WAR,G,BB,K,ERA,AVG,OBP,SLG,OPS,BABIP,WHIP,HR/9,H/9,BB/9,K/9,ERA+,FIP,WAR,SIERA,POS,G,EFF,SLR,SctAcc
SP,7,Jonah Aase,,-,19,L,L,1.0 Stars,10,14,8,1,11,2,10,1,10,1,52,10,21,9,41,1,4,39,3,-,2,17,14,59,26,8,20,27,18,3,35,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,77,Cory Abbott,,-,31,R,R,2.0 Stars,1,4,1,1,1,1,1,1,1,1,64,19,45,40,53,42,3,39,1,1,2,30,30,48,15,16,22,26,15,1,72,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,13,Nic Abraham,,-,20,L,R,1.0 Stars,1,1,1,1,1,1,1,1,1,1,39,16,20,10,46,1,3,63,1,1,2,27,28,42,15,3,18,10,36,21,49,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,50,Luis Acevedo,,-,22,L,L,0.5 Stars,14,13,16,1,7,18,14,1,14,1,49,26,27,1,52,1,3,32,3,3,1,21,27,50,22,9,23,31,15,7,45,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,8,Nathan Aceves,,-,21,R,R,1.0 Stars,1,1,1,1,1,1,1,1,1,1,39,21,14,3,53,10,3,59,1,1,1,29,37,45,17,45,44,51,44,42,59,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,21,Jerry Acosta,,-,17,L,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,74,1,10,1,39,1,4,76,2,1,2,20,10,46,8,34,29,42,4,2,40,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,25,Dillon Adkins,,-,19,L,L,0.5 Stars,4,4,7,1,1,5,3,1,5,1,26,3,13,1,53,1,4,43,1,1,1,15,31,52,18,62,59,64,64,64,44,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,31,Antonio Aguilar,,Athletics,17,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,49,2,9,1,35,1,5,40,2,4,2,19,7,64,26,40,41,49,16,8,42,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,7,Ricky Aguilera,,St. Louis Cardinals,17,S,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,52,2,1,1,33,2,6,42,10,9,6,16,23,43,12,33,43,44,2,3,47,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,31,Colby Akin,,-,19,L,L,1.0 Stars,1,1,1,1,1,1,1,1,1,1,36,10,10,12,38,15,4,63,6,11,10,23,4,38,4,35,34,38,20,15,35,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
