,0
POW vR,0.2582852111098851
CON vR,0.1346708626166288
POW vL,0.04651944748519262
EYE vR,0.022590511077719956
CON vL,0.016311803583088813
IF ARM,0.014978463896273908
EYE vL,0.012709286228488192
IF RNG,0.011410624962805416
GAP vL,0.010841839057546997
K vR,0.007681749299087426
RUN,0.007276192504592294
GAP vR,0.007002800958177657
K vL,0.0026992273780056643
IF ERR,0.001110092157731879
C FRM,0.0006384701584616903
C ARM,0.0004907085067330175
OF RNG,-0.00015897188874164359
C ABI,-0.0005075761822479153
TDP,-0.0009723385797332562
BA vL,-0.0010465072415519084
BFH,-0.0010496790821682422
OF ARM,-0.0011034791952403756
SPE,-0.001154215550849058
BUN,-0.0018165230322746528
SR,-0.002652036655252854
BA vR,-0.0028807687063257203
STE,-0.0030042345280798743
OF ERR,-0.0034960954754840513
