Feature,Normalized
VELO,0.272799022504261
KN,0.058935462589482984
CON vR.1,0.058695158518777955
STU vL,0.05594689269708587
STM,0.044599549682934725
CON vL.1,0.041552912289836194
PBABIP vL,0.04068577856344637
CB,0.03986763461939498
SL,0.03834829336883609
HRR vR,0.03711901129509851
STU vR,0.035961456826514186
MOV vR,0.03459524661727528
PBABIP vR,0.03411672305542687
FB,0.03388907665006241
CH,0.03319870825375732
HRR vL,0.03147190542287333
MOV vL,0.031278675507431346
PIT,0.02069949845029153
SI,0.015924822874352533
CT,0.011617770299906032
SC,0.011013911842299138
CC,0.009936553775499124
SP,0.006412925723726107
FO,0.0007259985828783669
KC,0.0006070099885517741
