Feature,Normalized
STM,0.11760675342642944
MOV vR,0.09625221958439088
MOV vL,0.06330215962900893
CON vR.1,0.062151161599451915
CON vL.1,0.06046023787985815
STU vL,0.06028429051827308
STU vR,0.05418603886558418
SL,0.04909098823376925
HRR vL,0.047988860462844014
PBABIP vR,0.04708934011917733
HRR vR,0.04689710418178125
FB,0.04236808035587664
CH,0.042165446770866
PBABIP vL,0.04210893508196543
CB,0.03993844839088726
SI,0.029424385118448356
VELO,0.028888161963754006
CT,0.027116985554488573
SP,0.01819563896730699
PIT,0.01210790185773162
CC,0.003238817205915187
KC,0.003206886336216553
STM_bucket_med,0.002015208413661174
FO,0.001778641822682614
STM_bucket_low,0.001235195385658668
SC,0.0004630355887488879
KN,0.00043907668522362583
