Feature,Normalized
STM,0.11074961558157356
CON vL.1,0.07407969963805154
MOV vL,0.06941062711374286
STU vR,0.06564354999456237
HLD,0.06437378948087874
CON vR.1,0.06354976633002458
CH,0.05315699521902732
MOV vR,0.05259196543242793
PBABIP vR,0.04895075915373303
STU vL,0.04679384072738569
PBABIP vL,0.044005164182174594
SI,0.04104963527488244
SL,0.04071098038927879
HRR vL,0.03598238235454199
CB,0.035780028786036346
FB,0.03249221367158345
HRR vR,0.031471860974975445
VELO,0.024919687630608797
CT,0.017858834300122757
PIT,0.01785314501849066
SP,0.014748827365559753
FO,0.009150882266825734
KC,0.0027341693400182478
SC,0.001458976341617818
CC,0.00048260343187540996
KN,0.0
