Feature,Normalized
MOV vR,0.12689746989557263
MOV vL,0.10488589097285919
CON vR.1,0.08061438478973212
STU vR,0.07781635497589715
CON vL.1,0.07294205530655282
STU vL,0.06006336710885711
HRR vL,0.056209879075017816
HRR vR,0.047394241910850086
CH,0.043433416525172526
STM,0.039627360457257635
FB,0.03523036414333085
CB,0.034859020067516025
SL,0.0340330949137357
PBABIP vL,0.03399555934531807
PBABIP vR,0.03145922555535067
CT,0.028744470650366023
SI,0.026127216336272498
VELO,0.016456133524342977
SP,0.014449194992532478
PIT,0.013841271142712159
KC,0.0077182404050514745
SC,0.006581331670202178
STM_bucket_med,0.0026134370268913005
STM_bucket_low,0.0018106038160258034
CC,0.0015093984910355012
FO,0.0006710449347600563
KN,1.597196678717661e-05
