Feature,Normalized
MOV vR,0.20350517100148305
STU vL,0.0902613597530793
CON vL.1,0.08542514320340311
STU vR,0.08260699905283722
CON vR.1,0.08216166361661123
MOV vL,0.0715591889030077
HRR vL,0.045084697317527324
STM,0.03366531421405675
CH,0.031973883527525546
FB,0.03183145807413273
HLD,0.031362509918287
HRR vR,0.028864223046115196
PBABIP vL,0.026942965481578388
SL,0.024259265817036507
PBABIP vR,0.023318158945695767
CB,0.02260126908826498
SI,0.020768223150993796
CT,0.01969260568290828
VELO,0.016917136519969574
PIT,0.013220324948481299
SP,0.008042043555302358
KC,0.002347481316208043
CC,0.0018396272795931199
SC,0.0012858491421230396
FO,0.0004439229438075023
KN,1.95144999712352e-05
