Pitching Slot,Current Player,Current Rating,Current Price,Upgrade Player,Upgrade Rating,Upgrade Price,Value_vs_Price
SPE,In Memoriam - Snapshot RP Octavio Dotel DET 2012,100.761,3500,April Standouts - Baseball Reference 1 CL Doug Jones HOU 1992,105.4938,9444,0.5011435832274457
LR,Unsung Heroes SP Kyle Bradish BAL 2023,97.5423,11368,Launch Deck Mission - Snapshot SP Tim Wakefield BOS 2002,101.0593,9000,0.39077777777777734
LR,NL East 2 - Historical All-Star SP Tom Glavine ATL 1998,99.2264,5077,Opening Day Stars - Historical All-Star SP Bob Veale PIT 1965,107.0708,31021,0.25287385964346754
LR,Cubs Live 2 - Snapshot SP Orval Overall CHC 1909,98.32,5398,Immortal Seasons 1 CL John Hiller DET 1973,104.1576,28999,0.20130349322390456
MR,Theme Week - Snapshot SP Jim Merritt MIN 1967,100.3324,1399,All-Time Legend CL Sparky Lyle NYY Peak,114.3897,79999,0.17571844648058096
SP,Yankees Live 2 - Historical All-Star SP Lefty Gomez NYY 1934,102.6749,7600,April Fools Day - Rookie Sensation SP Paul Dean STL 1934,106.7012,24999,0.16105844233769376
SU,Tokyo Series Celebration - Snapshot RP Koji Uehara BAL 2011,103.7579,0,Snapshot RP Mike Magnante HOU 1997,107.8365,33999,0.1199623518338773
SU,Baseball Reference 2 RP Dellin Betances NYY 2015,102.8035,24000,MLB 2025 Live CL Emmanuel Clase CLE,105.5279,24001,0.113511937002625
SP,AL West 2 - Historical All-Star SP Mike Scott HOU 1986,105.2944,8490,Hardware Heroes SP Jesse Tannehill PIT 1901,110.5768,50500,0.10460198019802
SP,AL Central 1 - Historical All-Star SP Sam McDowell CLE 1969,104.94010000000002,6998,Clubhouse - Negro League Star 1 SP Max Manning NeEa 1947,109.539,55444,0.08294675708823293
SP,NL West 2 - Historical All-Star SP Juan Marichal SF 1966,108.8957,9999,Opening Day Roster - Future Legend SP Jackson Jobe DET 2025,116.1093,109999,0.0655787779888908
SP,Complete Live 1 - All-Time Legend SP Dave Stieb TOR Peak,116.2858,27777,Perfect Game SP Randy Johnson ARI 2004,127.51749999999998,374999,0.029951279870079624
CL,All-Time Legend RP Luke Gregerson SD Peak,111.0289,0,PTMS 1 SP Cy Falkenberg Indianapolis Hoosiers 1914,121.0749,488888,0.02054867372486133
