Pitching Slot,Current Player,Current Rating,Current Price,Upgrade Player,Upgrade Rating,Upgrade Price,Value_vs_Price
SP,AL West 2 - Historical All-Star SP Mike Scott HOU 1986,82.1269745007199,12121,Rookie Sensation SP Walker Buehler LAD 2018,85.19921882792102,16000,0.19201527045006994
SP,NL West 2 - Historical All-Star SP Juan Marichal SF 1966,81.93420576896709,12000,MLB 2025 Live CL Andres Munoz SEA,86.17716583907995,27975,0.15166970760010215
RP,Future Legend Call-Ups SP Zebby Matthews MIN 2025,80.47955523318107,15159,Rivalry Week - Historical All-Star SP David Cone NYM 1988,87.59490388204713,75000,0.09487131531821415
CL,Rookie Sensation SP Jason Bere CWS 1993,80.78687612796419,500,Negro League Star 2 SP Dave Barnhill NYC 1943,81.7205225394568,14900,0.06266083298608074
SP,Opening Day Roster - Future Legend SP Kumar Rocker TEX 2025,85.13680359750067,0,Opening Day Stars - Historical All-Star SP Bob Veale PIT 1965,86.22437158464768,17995,0.06043723185034794
RP,Phillies Live 1 - Snapshot SP Curt Schilling PHI 1992,79.95062325098763,1900,Tokyo Series Celebration - Future Legend SP Roki Sasaki LAD 2025,86.49382916329947,108999,0.060029962773161534
SP,Complete Live 1 - All-Time Legend SP Dave Stieb TOR Peak,92.591423902821,28555,Opening Day Roster - Future Legend SP Jackson Jobe DET 2025,97.95087729282906,93000,0.05762853107535544
RP,AL Central 1 - Historical All-Star SP Sam McDowell CLE 1969,79.4880979716245,0,PTMS 1 SP Billy O'Dell BAL 1958,82.52139651466646,59888,0.05064952149081561
CL,MLB 2025 Live SP Logan Gilbert SEA,79.45934039105062,7500,Snapshot CL Bob James CWS 1985,82.67288604746213,69999,0.04590845092660627
RP,NL East 2 - Historical All-Star SP Tom Glavine ATL 1998,78.62406072429259,6100,Immortal Seasons 1 SP Orel Hershiser LAD 1988,79.80626777620652,27777,0.04256064556697752
SP,All-Time Legend RP Luke Gregerson SD Peak,88.67149403019046,0,Snapshot SP Kevin Brown LAD 1999,91.81578274259536,80000,0.03930360890506126
RP,Happy Retirement - All-Time Legend SP Lance Lynn TEX Peak,79.03996884581102,6999,Negro League Star SP Jose Mendez CSOH 1912,81.43767312840016,68965,0.03476697284983899
CL,T4 Ep. 1 - Negro League Star SP Nip Winters PHG 1923,87.10190341752642,14999,Mission - Negro League Star 1 SP Satchel Paige KCM 1944,97.0099089352736,499999,0.019816050667595703
