Assigned_Position,//Card Title,Assigned_Value,Best_Offense_Rating,Sell Order Low,owned
SS,Complete Live 2 - Snapshot SS Honus Wagner PIT 1909,88.57045582397024,8.963109631935136,37500,1
CF,April Standouts - Baseball Reference 1 RF Cody Bellinger LAD 2019,93.22825485976992,6.360380179401588,0,1
C,Phillies Live 2 - Hardware Heroes C Darren Daulton PHI 1992,93.31152003187374,6.336122030088216,5443,1
2B,Cubs Live 1 - Hardware Heroes 2B Javier Baez CHC 2018,84.54284380163669,8.835397614945364,1700,1
3B,April Standouts - Baseball Reference 1 3B Albert Pujols STL 2001,93.15501167746804,8.912126003070604,115000,1
RF,MLB 2025 Live RF Aaron Judge NYY,97.3548337818526,9.231013625685435,35000,1
LF,Braves Live 1 - Hardware Heroes RF Tommy Holmes BSN 1945,83.39240279756078,6.3595366592027025,5500,1
1B,Theme Week - Historical All-Star 1B Harmon Killebrew MIN 1967,91.87351485088912,5.69549942994149,21749,1
DH,Brooks Robinson Mission - Snapshot 3B Tim Hulett BAL 1993,10.152711050035078,10.152711050035078,499,1
SUB1,MLB 2025 Live RF Dane Myers MIA,8.746891037277502,8.746891037277502,34,1
SUB2,Yankees Live 1 - Unsung Heroes LF Birdie Cree NYY 1911,9.593787784136207,9.593787784136207,1199,1
SUB3,Marlins Live 1 - Hardware Heroes 2B Dee Strange-Gordon MIA 2015,9.509611618542937,9.509611618542937,295,1
