Feature,Importance,Normalized
VELO,0.2365219510655689,0.2365219510655689
HLD,0.20265730165737297,0.20265730165737297
STM,0.1201380563183519,0.1201380563183519
CB,0.102682940576886,0.102682940576886
FB,0.04756467012394588,0.04756467012394588
PIT,0.03929288212942059,0.03929288212942059
STU vL,0.036854489924464835,0.036854489924464835
PBABIP vL,0.03447650909931264,0.03447650909931264
PBABIP vR,0.028302544170347003,0.028302544170347003
MOV vL,0.023371019875595152,0.023371019875595152
HRR vL,0.022247261583177483,0.022247261583177483
STU vR,0.019983466568614265,0.019983466568614265
HRR vR,0.019086949368524817,0.019086949368524817
CH,0.018136975272412228,0.018136975272412228
CON vL.1,0.01388645904341963,0.01388645904341963
CON vR.1,0.012069477850747122,0.012069477850747122
MOV vR,0.010368404441386725,0.010368404441386725
CT,0.005153247504052344,0.005153247504052344
SI,0.004299814386315575,0.004299814386315575
SL,0.0029055790400840777,0.0029055790400840777
