Feature,Importance,Normalized
MOV vR,0.1371394661313865,0.13713946613138647
STU vL,0.09366017117233742,0.09366017117233741
CON vL.1,0.06906962537903581,0.0690696253790358
PBABIP vL,0.057258469182276756,0.05725846918227674
CON vR.1,0.05604662708361085,0.056046627083610835
STU vR,0.05339744414657858,0.053397444146578564
STM,0.0525756377413114,0.05257563774131139
CH,0.050348754284841174,0.05034875428484116
HLD,0.04830400649663457,0.048304006496634556
MOV vL,0.04695853577624986,0.046958535776249845
HRR vR,0.04463963063153462,0.044639630631534616
HRR vL,0.040689607810598216,0.04068960781059821
FB,0.04013968057338687,0.04013968057338686
SL,0.03717463813888205,0.03717463813888204
PBABIP vR,0.03272562511768725,0.03272562511768724
CB,0.031257951555154824,0.03125795155515482
SI,0.02934644612666179,0.029346446126661783
CT,0.025346498697394075,0.025346498697394068
VELO,0.01913789312637451,0.019137893126374508
PIT,0.01581778798398335,0.015817787983983346
SP,0.009147624614443265,0.009147624614443264
KC,0.004242786588537473,0.004242786588537472
CC,0.0029614815201450834,0.0029614815201450826
SC,0.0014649827187688746,0.0014649827187688742
FO,0.001096528673062304,0.0010965286730623039
KN,5.209872912266583e-05,5.2098729122665816e-05
