Feature,Normalized
MOV vR,0.13870563936018226
STM_per_IP,0.11792315225401513
log_IP,0.08819734319129877
MOV vL,0.07620209429879585
STU vR,0.0508189952494903
STU vL,0.048830807067373395
CON vL.1,0.0474191421335528
CON vR.1,0.04628582231109992
STM,0.04328556386311361
HRR vL,0.03706459453375772
HLD,0.034995538109437445
PBABIP vR,0.030034638394465754
FB,0.029774904483403586
HRR vR,0.029093494138605052
SL,0.028944743471169196
PBABIP vL,0.02766428005363789
CH,0.025909445999075853
CB,0.021672325372185237
SI,0.019000995550115887
VELO,0.017240107472468832
CT,0.01582368043002589
SP,0.010344455627943134
PIT,0.009024872888265163
CC,0.001917770947893639
KC,0.0015615009701449465
SC,0.0012840428528328343
FO,0.0006835816912846832
KN,0.00029646728436535317
