,0
IF RNG,0.39228907231004745
CON vR,0.13644865527591485
POW vR,0.11313781206202775
POW vL,0.053008978955760164
EYE vR,0.02037195813868401
K vR,0.010870854783377381
EYE vL,0.009716599998826691
RUN,0.009006083290997401
K vL,0.007364194054374329
SPE,0.0056384462100711906
OF ERR,0.0055077108953608175
STE,0.005326376212842376
CON vL,0.005307317143576728
OF ARM,0.004782379733044384
IF ARM,0.0037417371737486715
SR,0.0022195460542802194
GAP vR,0.0014593796746282472
TDP,0.0014530160751615728
BA vL,0.0013977206996093395
IF ERR,0.001355579294815923
C FRM,0.0013038644362333262
BA vR,0.0006756705753607651
BUN,0.0004980787821465161
C ABI,0.00021807242848558283
BFH,-7.71313024747422e-05
OF RNG,-0.0006272486722696202
C ARM,-0.0009962549441832169
GAP vL,-0.0010784996805611401
