,0
POW vR,0.19993025266425768
C FRM,0.07011355988544374
C ABI,0.03819511363299536
CON vR,0.033660373990583414
K vR,0.029842699347324076
POW vL,0.0260610376086264
GAP vR,0.022250948092071475
EYE vR,0.021681198190910488
CON vL,0.019299694821904755
EYE vL,0.018338510851866153
K vL,0.014299888845127905
C ARM,0.009675478006394799
SPE,0.0037292375307194647
BUN,0.0029364811224686926
BA vR,0.0023398122060123037
SR,0.0017778632213035106
IF ERR,0.0016109145962037274
RUN,0.0015033634042836308
OF ERR,0.0011627674111912456
IF RNG,0.0002411267160938535
STE,-0.0002539962903362003
TDP,-0.0004464340918349796
OF ARM,-0.0006864812336690229
OF RNG,-0.0007501356186465525
IF ARM,-0.000856787898148459
BFH,-0.0014158916105556196
BA vL,-0.0016808655800361505
GAP vL,-0.0024779823375560396
