,0
OF RNG,0.286135799481878
CON vR,0.21967676499759697
POW vR,0.18495505443236712
POW vL,0.027069150361852135
RUN,0.01759974079281442
IF ERR,0.01693488920909212
GAP vL,0.013614793553067318
BA vR,0.010490374459991635
K vR,0.009841605111667174
TDP,0.007810001695411783
EYE vR,0.005858738082831216
K vL,0.005386780271578284
CON vL,0.005367144892221532
GAP vR,0.004684369065774708
BA vL,0.003743848533621241
IF ARM,0.0033819364658865814
OF ERR,0.003286700611583082
SR,0.0031738803041557405
STE,0.0027190843344067515
SPE,0.0012603355594825838
EYE vL,0.0012485210767976484
C FRM,0.0006808978583875191
OF ARM,0.0005064767015814043
C ARM,-1.7721534993364597e-05
BFH,-0.0007658019241463587
BUN,-0.0011021656517663514
IF RNG,-0.0011027443315023589
C ABI,-0.0017081100618109302
