,0
POW vR,0.2654117706027644
CON vR,0.13111123196248697
OF RNG,0.113943271063859
POW vL,0.026937225586633296
BA vR,0.024574229230870593
EYE vR,0.022401040151430053
GAP vR,0.02107594179510337
RUN,0.015444463777018923
CON vL,0.015177786186449193
SPE,0.01454566755507879
GAP vL,0.010465029647469825
K vR,0.010374085566640701
EYE vL,0.006341549860121032
K vL,0.00615529965830498
STE,0.0031983330006086887
BA vL,0.003055652660626851
OF ERR,0.0027907384264859504
SR,0.002520679679050375
IF ARM,0.00225363069105311
BFH,0.0021982882946632643
IF RNG,0.0008666672949299015
C FRM,0.0007440125912993256
IF ERR,0.000720608692982927
C ARM,0.0005482482784476272
BUN,0.0003412621181225206
TDP,-4.5334346467351685e-05
OF ARM,-0.0002977992590831757
C ABI,-0.0005422932008424363
