,0
POW,0.15458656954460773
K's,0.1289968381895505
K's POW,0.0497369895485514
BABIP,0.044966696066156074
POW EYE,0.03811033995400448
POW^2,0.018329328042061034
BABIP POW,0.017638615238771815
BABIP^2,0.015939004056601137
STE^2,0.015874168293155688
EYE SPE,0.012243017835022019
K's EYE,0.011817477774867347
K's GAP,0.011144727904355578
SPE^2,0.009003246338812543
GAP EYE,0.007909525111628379
K's STE,0.0072829424217687785
GAP,0.006096771378542476
SPE STE,0.005140409725953821
BABIP K's,0.004923106888603557
EYE,0.0032847102378428584
BABIP SPE,0.0018670435438868816
EYE STE,0.0005262489286114947
GAP^2,0.0
GAP STE,0.0
BABIP STE,0.0
BABIP GAP,0.0
BABIP EYE,0.0
K's SPE,0.0
GAP SPE,0.0
POW STE,0.0
GAP POW,0.0
SPE,-0.0010972185721844108
STE,-0.0016378188703692342
POW SPE,-0.002862286832897054
K's^2,-0.0047847048972997075
EYE^2,-0.009096931306305877
