,0
POW vR,0.18271580540523533
OF RNG,0.1491204171843943
CON vR,0.07610180822232032
POW vL,0.0412173022405191
EYE vR,0.035369135706776876
BA vR,0.023387944029568432
K vR,0.020190984975745986
GAP vR,0.01821324162848783
SPE,0.0099310448242254
STE,0.009446635268634429
SR,0.0069075553945396
RUN,0.006565592331777026
K vL,0.005272977591709338
CON vL,0.004181194325063831
EYE vL,0.0027752670429502246
GAP vL,0.002733155002810084
OF ARM,0.0023222994529270456
TDP,0.001490584007118212
IF ERR,0.001110609803957463
OF ERR,0.0009527477540460571
C FRM,0.0008093211643428244
IF RNG,0.0005685591938862644
C ARM,0.0005537292950419492
C ABI,0.0004723424946771138
BUN,0.00045925357646535713
IF ARM,-3.168130540344149e-05
BA vL,-0.00024290642346468382
BFH,-0.00024901740814538
