,0
IF RNG,0.15293523979565152
CON vR,0.1486979153921426
POW vR,0.14765941462846338
IF ARM,0.03790765130541875
EYE vR,0.02074153573444113
RUN,0.017369994634619836
CON vL,0.013329999952651318
K vL,0.009254432025946946
K vR,0.008439473831341294
POW vL,0.0067163655879988625
SR,0.005172712585683159
TDP,0.003736917933053796
GAP vR,0.0036775158636513814
STE,0.002913073956516532
OF RNG,0.0025421963788827885
OF ERR,0.0024317112488539184
BFH,0.001556060429541073
GAP vL,0.0013744990041358429
BUN,0.0010887319341766565
SPE,0.0008259658219978427
BA vR,0.0006398187511836628
BA vL,0.0005871339162748845
OF ARM,0.00023839327553367706
IF ERR,-1.9450639979068375e-05
C ABI,-0.0008460623357445906
C FRM,-0.0010932775543747609
C ARM,-0.001300377153450194
EYE vL,-0.004759564340233479
