POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU vL,MOV vL,CON vL.1,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR.1,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP.1,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA.1,WAR.1,rWAR,SIERA,STM_per_IP,log_IP,Predicted_WPA
CL,9,Eric Prange,,Cleveland,MLB,MLB,05/08/2010,25,USA,6' 5',200 lbs,Left,Left,3.5 Stars,3.5 Stars,8,11,1,1,5,1,5,1,1,1,10,1,12,9,1,1,3,4,64,7,Normal,Normal,Normal,81,59,51,51,61,83,59,53,51,62,81,59,51,51,61,99.0,,97.0,,,,,,,,,,2,GB,96.0,95-97,3/4,Power,9.0,86.0,4,4,2,18,1,51,3,42,35,46,2,2,4,7,1,1,1.0,1.0,4.0,4.0,2.063,5.0,0.0,0.36,1,0.2,1.4,0.0,0.0,0.0,31,7,58.0,20,3.1,3.15,0.0,1.2,-0.2,3.23,0.1551723870392436,4.07753744390572,0.2725066666666667
CL,44,Julio Sanchez,,Minnesota,MLB,MLB,09/13/2008,27,DOM,6' 0',195 lbs,Left,Left,3.0 Stars,3.0 Stars,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,10,1,1,70,1,Flyball,Pull,Pull,42,59,69,45,69,45,67,76,48,79,41,57,67,44,65,41.0,35.0,18.0,,46.0,,,,,,,,4,GB,91.0,90-92,3/4,GB'er,66.0,64.0,2,2,2,25,15,44,3,41,28,41,17,16,1,36,2,1,0.0,0.5,0.0,0.1,0.343,0.5,0.0,0.01,0,-0.0,0.1,0.0,0.0,0.0,46,10,73.0,16,1.97,2.95,2.8,2.0,1.6,3.29,0.9041094651904842,4.30406509320417,0.04733333333333333
CL,75,Andres Munoz,,Seattle,MLB,MLB,01/16/1999,27,MEX,6' 2',215 lbs,Right,Right,4.0 Stars,4.0 Stars,8,11,7,1,1,1,12,8,8,1,2,1,11,8,6,1,1,1,56,48,Normal,Normal,Normal,95,65,43,60,67,69,55,41,54,56,100,76,44,65,80,100.0,,,100.0,89.0,,,,,,,,3,NEU,100.0,99-101,3/4,Power,12.0,53.0,1,1,1,40,44,48,21,16,8,3,22,17,9,30,1,1,1.0,1.0,1.0,1.0,0.877,2.0,1.0,0.14,0,0.1,0.5,0.0,-0.4,-0.4,41,4,63.1,15,2.13,3.08,4.9,1.4,1.4,3.34,0.19017429632736982,4.160444363926624,0.13866666666666685
CL,61,Angel Zerpa,,Kansas City,MLB,MLB,09/27/1999,27,VEN,6' 0',205 lbs,Left,Left,2.5 Stars,2.5 Stars,8,1,1,1,1,14,1,8,1,1,1,13,1,9,1,1,1,15,39,17,Normal,Normal,Normal,43,52,52,52,52,48,61,55,57,63,41,50,51,51,50,49.0,,35.0,40.0,42.0,,,,,,,,4,EX GB,97.0,96-98,3/4,Power,25.0,59.0,3,3,4,33,56,50,33,30,28,12,14,16,9,19,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0,-0.1,-0.3,0.0,0.0,0.0,28,7,74.0,23,2.8,3.75,-1.7,0.5,0.1,3.97,0.3378377921840821,4.31748811353631,0.12557333333333362
CL,22,Zach Showalter,,St. Louis,MLB,MLB,01/23/2004,25,USA,6' 2',195 lbs,Right,Right,4.0 Stars,4.0 Stars,17,14,25,11,21,23,15,18,26,11,22,24,14,17,25,11,21,23,48,41,Normal,Normal,Normal,100,58,47,57,58,90,53,46,54,52,100,62,48,59,63,91.0,93.0,,100.0,,,,,,,,,3,NEU,94.0,93-95,3/4,Normal,17.0,26.0,1,1,1,48,38,36,48,65,62,50,73,64,70,76,1,1,1.0,1.0,1.0,1.0,0.882,2.0,1.0,0.01,0,0.0,0.5,0.0,0.0,0.0,39,5,66.1,17,2.31,2.38,4.9,2.9,1.6,2.27,0.2571860427857727,4.206184043977636,0.056026666666666815
CL,4,Christian Lopez,,Cincinnati,MLB,MLB,07/06/2006,23,MEX,6' 2',200 lbs,Left,Left,3.5 Stars,4.0 Stars,12,14,2,1,1,12,16,14,5,1,1,14,14,12,1,1,1,12,34,17,Normal,Normal,Normal,100,53,39,55,53,100,58,40,58,58,95,51,39,53,51,60.0,63.0,,82.0,,,36.0,,,,,,4,NEU,92.0,91-93,3/4,Normal,59.0,64.0,1,1,1,29,36,53,18,13,16,26,24,19,19,24,10,9,0.222,0.3,0.333,1.0,0.282,0.633,0.333,0.01,0,0.4,-0.4,0.0,-0.0,-0.0,0,0,161.0,74,4.14,4.35,0.7,2.5,3.5,3.39,0.3664596045677264,5.087596335232384,0.0382133333333332
CL,23,Chase Burns,,Cincinnati,MLB,MLB,01/16/2003,27,USA,6' 3',200 lbs,Right,Right,3.0 Stars,3.5 Stars,2,1,1,1,1,7,1,2,1,1,1,7,1,2,1,1,1,7,78,20,Normal,Normal,Normal,74,50,45,59,49,69,49,45,58,48,79,52,45,60,50,100.0,46.0,100.0,100.0,,,,,,,,,4,GB,98.0,97-99,3/4,Power,55.0,48.0,2,3,2,29,15,59,20,10,15,15,22,10,14,39,2,2,1.0,1.0,1.0,2.0,0.877,2.0,1.0,0.15,1,0.1,0.9,0.0,0.0,0.0,7,3,113.2,71,5.62,4.95,-2.0,0.6,0.3,3.11,0.4858656814606288,4.73795129722191,0.14327999999999955
CL,9,Tyler Owens,,Texas,MLB,MLB,01/09/2001,29,USA,5' 10',185 lbs,Right,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72,2,Normal,Normal,Normal,51,57,69,57,57,47,53,62,58,51,55,59,73,57,60,74.0,,77.0,,,,,,,,,,2,EX FB,96.0,95-97,OTT,Power,13.0,38.0,4,4,1,42,33,52,38,9,8,20,16,12,15,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0,0.0,-0.0,0.0,0.0,0.0,39,6,70.2,24,3.06,2.85,0.9,2.1,1.2,3.05,0.1851851588055329,4.26549281841793,0.11887999999999965
CL,28,Bobby Miller,,Colorado,MLB,MLB,04/05/1999,31,USA,6' 5',215 lbs,Left,Right,2.5 Stars,2.5 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,19,Normal,Pull,Pull,44,44,46,43,45,43,43,45,41,44,45,45,46,44,45,54.0,35.0,34.0,41.0,41.0,,,,,,,,5,NEU,96.0,95-97,OTT,Power,55.0,40.0,1,-,-,37,51,56,22,27,36,41,12,31,14,53,2,1,0.0,0.5,0.0,0.1,0.359,0.5,0.0,0.01,0,0.0,0.1,0.0,0.0,0.0,18,5,60.0,28,4.2,3.99,0.0,0.6,-0.2,4.08,0.9166665138889143,4.110873864173311,0.05597333333333355
CL,11,Brian Sherman,,Houston,MLB,MLB,01/06/2006,26,USA,6' 2',200 lbs,Switch,Right,3.0 Stars,4.5 Stars,1,1,1,1,19,1,1,1,1,1,16,1,2,1,1,1,20,1,50,2,Normal,Spray,Normal,50,71,49,57,77,53,77,50,59,84,49,66,48,56,72,,,100.0,,,,49.0,,,,,,2,GB,100.0,99-101,3/4,GB'er,25.0,76.0,2,4,4,27,16,68,27,32,45,44,9,5,5,22,2,2,0.5,0.5,0.5,0.5,0.439,1.0,1.0,0.21,0,0.1,0.2,0.0,0.0,0.0,42,13,70.0,24,3.09,3.36,-0.7,1.6,0.1,4.0,0.35714280612245625,4.2626798770413155,0.20887999999999962
