POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU vL,MOV vL,CON vL.1,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR.1,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP.1,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA.1,WAR.1,rWAR,SIERA,Predicted_XGB
RP,11,Roki Sasaki,,Los Angeles,MLB,MLB,11/03/2001,23,JPN,6' 2',190 lbs,Right,Right,4.5 Stars,4.5 Stars,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,18,4,Flyball,Normal,Normal,85,58,53,62,56,72,53,53,59,51,97,61,55,66,60,100.0,,,86.0,,100.0,,,,,,,3,NEU,99.0,98-100,3/4,Power,74.0,56.0,1,1,1,17,20,31,14,6,7,1,4,4,1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,136.2,62,4.08,4.11,-0.2,1.7,1.9,2.74,1.6770933
RP,75,Andres Munoz,,Seattle,MLB,MLB,01/16/1999,26,MEX,6' 2',220 lbs,Right,Right,4.0 Stars,4.0 Stars,8,11,7,1,1,1,11,8,8,1,3,1,11,7,7,1,1,1,56,48,Normal,Normal,Normal,88,68,43,60,72,63,57,41,55,58,100,80,44,66,85,100.0,,,100.0,84.0,,,,,,,,3,NEU,100.0,99-101,3/4,Power,13.0,52.0,1,1,1,40,44,48,21,17,10,3,20,18,8,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,9,4,59.1,17,2.58,3.4,0.1,0.6,1.0,3.03,0.6201934
RP,49,Aaron Bummer,,Atlanta,MLB,MLB,09/21/1993,32,USA,6' 3',200 lbs,Left,Left,3.5 Stars,3.5 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,43,5,Normal,Pull,Pull,62,77,43,37,100,87,98,46,43,100,58,69,42,35,97,,,37.0,74.0,90.0,,50.0,,,,,,4,GB,95.0,94-96,3/4,GB'er,13.0,57.0,2,2,2,8,26,22,22,2,8,59,19,14,22,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,2,2,58.2,13,1.99,2.11,3.3,1.9,1.9,3.03,1.907323
RP,36,Cade Smith,,Cleveland,MLB,MLB,05/09/1999,26,CAN,6' 5',230 lbs,Right,Right,3.5 Stars,3.5 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,31,Normal,Normal,Normal,77,66,47,58,70,63,59,46,56,60,88,74,48,61,79,94.0,,,77.0,,86.0,,,,,,,3,NEU,96.0,95-97,3/4,Power,9.0,48.0,4,4,1,23,33,53,33,3,3,3,26,15,24,41,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,4,4,57.2,18,2.81,2.14,1.0,2.0,0.8,2.07,1.9467782
RP,34,Michael King,,Seattle,MLB,MLB,05/25/1995,30,USA,6' 3',210 lbs,Right,Right,3.5 Stars,3.5 Stars,1,3,2,1,3,1,3,1,2,1,3,1,3,1,2,1,3,1,39,30,Normal,Normal,Normal,63,54,47,57,53,57,50,46,55,50,72,58,48,59,58,95.0,69.0,,80.0,,,,,,,,,3,FB,97.0,96-98,3/4,Power,59.0,53.0,1,1,1,15,29,43,23,2,2,2,14,15,9,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,185.1,87,4.22,3.65,-0.6,3.1,2.2,3.33,3.05613
RP,71,Josh Hader,,Houston,MLB,MLB,04/07/1994,31,USA,6' 3',185 lbs,Left,Left,3.5 Stars,3.5 Stars,12,17,12,1,15,9,16,12,12,1,14,7,17,12,12,1,15,9,35,7,Normal,Normal,Normal,93,48,43,76,44,100,64,45,97,57,77,45,42,69,41,97.0,40.0,,100.0,,,,,,,,,3,EX FB,97.0,96-98,SIDE,Power,15.0,52.0,1,-,-,24,30,53,15,37,32,61,13,13,15,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,4,5,76.2,22,2.58,3.07,1.5,1.4,2.2,2.09,1.3898642
RP,31,Tyler Glasnow,,Los Angeles,MLB,MLB,08/23/1993,32,USA,6' 8',225 lbs,Left,Right,3.5 Stars,3.5 Stars,14,21,13,1,1,8,20,13,13,1,1,5,21,14,14,1,1,9,38,20,Normal,Normal,Normal,72,47,57,60,44,62,45,55,58,43,80,48,58,62,46,94.0,,71.0,87.0,48.0,,,,,,,,4,NEU,97.0,96-98,OTT,Power,56.0,57.0,-,-,-,33,13,58,25,-,-,-,20,11,16,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,157.0,64,3.67,3.05,0.9,4.1,3.0,2.21,4.051236
RP,30,Grayson Rodriguez,,Baltimore,MLB,MLB,11/16/1999,25,USA,6' 5',225 lbs,Left,Right,3.5 Stars,3.5 Stars,1,3,17,5,1,1,2,1,16,3,1,1,4,1,17,6,1,1,41,39,Flyball,Pull,Pull,65,49,59,53,48,61,48,58,52,47,69,49,60,54,48,93.0,69.0,70.0,69.0,,,,,,,,,4,FB,97.0,96-98,3/4,Power,65.0,55.0,1,1,1,24,28,70,34,32,38,72,18,14,11,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,77.2,33,3.82,4.17,-0.5,0.8,1.2,3.19,0.8096049
RP,48,Brusdar Graterol,,Los Angeles,MLB,MLB,08/26/1998,27,VEN,6' 1',265 lbs,Right,Right,3.5 Stars,3.5 Stars,1,7,1,1,1,1,8,1,1,1,1,1,6,1,1,1,1,1,51,28,Normal,Normal,Normal,39,80,74,60,88,35,70,67,56,76,42,89,80,65,97,,,,41.0,42.0,,37.0,,,,,,3,EX GB,100.0,99-101,3/4,GB'er,16.0,57.0,1,1,1,39,42,49,27,1,1,1,17,8,11,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,1,0,11.2,1,0.77,2.0,0.8,0.4,0.6,3.26,0.7909517
RP,66,Tanner Scott,,Los Angeles,MLB,MLB,07/22/1994,31,USA,6' 2',235 lbs,Right,Left,3.5 Stars,3.5 Stars,1,1,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1,3,22,8,Normal,Pull,Pull,66,74,38,59,80,100,97,40,69,100,57,67,37,56,72,80.0,,,97.0,,,,,,,,,2,NEU,97.0,96-98,3/4,Power,18.0,40.0,1,1,1,17,37,42,28,17,49,33,17,18,3,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,7,4,78.1,21,2.41,2.91,1.7,1.6,2.1,3.08,1.679468
