POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU vL,MOV vL,CON vL.1,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR.1,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP.1,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA.1,WAR.1,rWAR,SIERA,Predicted_XGB
SP,21,Tarik Skubal,,Milwaukee,MLB,MLB,11/20/1996,28,USA,6' 3',240 lbs,Left,Left,4.0 Stars,4.0 Stars,1,1,1,1,1,5,1,1,1,1,1,2,1,2,1,1,1,7,54,11,Normal,Spray,Spray,57,58,80,58,58,67,65,84,61,66,55,56,79,56,56,90.0,72.0,47.0,63.0,71.0,,,,,,,,5,NEU,98.0,97-99,3/4,Power,49.0,58.0,1,1,2,27,18,44,2,18,11,37,21,13,26,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,214.1,70,2.94,2.31,2.7,7.6,5.5,2.21,7.4876986
SP,35,Garrett Crochet,,Boston,MLB,MLB,06/21/1999,26,USA,6' 6',245 lbs,Left,Left,4.0 Stars,4.0 Stars,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,62,4,Normal,Normal,Normal,72,51,52,43,58,90,60,55,46,68,66,50,51,41,55,100.0,59.0,,80.0,58.0,,87.0,,,,,,5,NEU,98.0,97-99,3/4,Power,51.0,53.0,1,1,2,18,14,42,10,6,23,35,13,13,12,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,198.0,64,2.91,2.51,2.6,6.7,6.4,2.55,6.7030854
SP,99,Spencer Strider,,Atlanta,MLB,MLB,10/28/1998,26,USA,6' 0',200 lbs,Right,Right,4.0 Stars,4.5 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,7,Normal,Normal,Normal,83,50,50,56,49,69,48,49,53,47,95,53,51,58,52,100.0,69.0,,100.0,,,,,,,,,3,FB,98.0,97-99,3/4,Power,55.0,43.0,2,2,2,17,19,54,22,10,14,21,15,19,16,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,159.0,37,2.09,2.41,2.1,5.4,5.9,2.14,5.3326106
SP,51,Chris Sale,,Atlanta,MLB,MLB,03/30/1989,36,USA,6' 6',180 lbs,Left,Left,4.0 Stars,4.0 Stars,10,10,1,1,1,12,10,10,1,1,1,11,10,11,1,1,1,13,46,27,Normal,Normal,Normal,65,53,61,46,57,100,76,74,55,86,57,49,59,43,51,83.0,,,92.0,,,,,62.0,,,,3,NEU,95.0,94-96,SIDE,Normal,66.0,70.0,-,-,-,20,69,49,21,-,-,-,20,17,21,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,194.1,46,2.13,2.43,3.4,6.5,6.7,1.94,6.433722
SP,30,Paul Skenes,,Pittsburgh,MLB,MLB,05/29/2002,23,USA,6' 6',250 lbs,Right,Right,4.0 Stars,4.5 Stars,28,37,32,40,24,18,38,29,33,41,26,19,37,28,32,39,24,18,29,14,Normal,Ex. Pull,Pull,62,55,59,58,54,59,52,57,57,51,67,57,60,59,56,100.0,62.0,57.0,100.0,,,,,,,,,4,NEU,100.0,99-101,3/4,Power,67.0,41.0,36,39,64,21,37,62,17,30,28,63,18,16,17,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,190.2,89,4.2,3.79,0.2,2.6,2.1,3.08,2.7556808
SP,48,Jacob deGrom,,Texas,MLB,MLB,06/19/1988,37,USA,6' 4',180 lbs,Left,Right,3.5 Stars,3.5 Stars,32,29,19,1,26,36,28,30,18,1,26,34,29,33,19,1,27,36,51,6,Normal,Normal,Normal,80,47,81,64,44,70,45,78,61,42,87,48,82,67,45,100.0,45.0,57.0,100.0,,,,,,,,,4,NEU,98.0,97-99,3/4,Power,38.0,68.0,-,-,-,26,28,46,16,-,-,-,27,23,23,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,195.0,73,3.37,3.6,1.5,3.5,4.5,2.34,3.5132208
SP,39,Corbin Burnes,,Arizona,MLB,MLB,10/22/1994,30,USA,6' 3',245 lbs,Right,Right,3.5 Stars,3.5 Stars,16,17,1,1,1,16,18,17,1,1,1,17,17,16,1,1,1,16,32,8,Normal,Normal,Normal,48,61,57,63,61,46,59,57,61,59,49,63,58,66,63,,40.0,56.0,51.0,50.0,,67.0,,,,,,5,NEU,97.0,96-98,3/4,Normal,64.0,40.0,3,3,2,26,44,52,38,5,25,25,21,14,23,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,221.2,68,2.76,3.27,1.9,4.5,6.4,3.43,4.2862606
SP,7,Blake Snell,,Los Angeles,MLB,MLB,12/04/1992,32,USA,6' 4',225 lbs,Left,Left,3.5 Stars,3.5 Stars,12,21,1,1,20,1,20,12,1,1,19,1,21,12,1,1,20,1,39,38,Normal,Normal,Normal,78,52,38,59,51,84,56,39,61,55,75,51,37,59,50,94.0,69.0,100.0,58.0,,,,,,,,,4,NEU,96.0,95-97,3/4,Power,49.0,61.0,-,-,-,20,65,53,18,15,25,35,23,18,23,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,173.0,46,2.39,3.18,3.9,4.3,6.6,2.59,4.245633
SP,18,Yoshinobu Yamamoto,,Los Angeles,MLB,MLB,08/17/1998,27,JPN,5' 10',180 lbs,Right,Right,3.5 Stars,3.5 Stars,10,16,1,1,18,1,16,10,1,1,19,1,16,10,1,1,17,1,31,10,Normal,Normal,Normal,51,57,72,84,51,49,55,70,81,50,52,59,73,87,54,73.0,,53.0,45.0,44.0,49.0,47.0,,,,,,6,NEU,97.0,96-98,3/4,Power,62.0,64.0,1,1,2,35,33,64,9,12,14,32,9,10,13,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,197.1,74,3.38,3.71,1.1,3.5,4.6,3.39,3.5027132
SP,18,Shane McClanahan,,Tampa Bay,MLB,MLB,04/28/1997,28,USA,6' 1',200 lbs,Left,Left,3.5 Stars,3.5 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,2,Normal,Normal,Normal,56,50,66,60,49,59,53,70,62,51,54,50,65,60,48,94.0,58.0,85.0,69.0,,,,,,,,,4,NEU,98.0,97-99,3/4,Power,58.0,75.0,1,1,3,40,14,39,3,31,3,6,18,16,13,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,191.1,78,3.67,3.72,1.1,2.6,2.9,2.88,2.6737168
