Name,Actual_WAR,Predicted_WAR
Miguel Soto,2.1,2.0134196
Bill Mejia,1.5,0.814471
Alex Briceno,6.6,7.1402087
Carlos Rodriguez,-0.2,0.42250812
Lorenzo Garcia,-0.3,-0.21715868
Alan Pomerantz,0.6,1.4853625
Curtis Mead,0.6,-0.41583344
Alex Castillo,0.4,1.9510884
Noah Dudley,0.2,0.790046
Alejandro Gonzalez,0.5,0.5936783
Guangbiao Meehan,-2.2,-0.042846028
Vladimir Guerrero Jr.,-0.3,0.71328914
Roberto Reyes,0.5,0.33788842
Cameron Decker,-0.5,1.5072583
Marcos Villareal,2.6,2.0214827
Nick Kurtz,2.5,1.0264091
Rhys Hoskins,-0.2,0.5076008
Byron Wheeler,0.1,0.56370515
Alex Briceno,8.8,7.759101
Bryce Harper,-0.3,0.68814105
Dan Olson,0.1,-0.025883682
Bill Smith,0.1,0.26158065
Fernando Galiano,2.4,5.414798
Ty France,0.5,0.7569288
Tony Garcia,3.5,1.924482
Alejandro Gonzalez,1.1,1.3567017
Tyler Nevin,-0.2,-0.072885156
Robbie Correa,1.0,0.85698956
Francisco Vargas,8.0,9.563678
Luis Barajas,3.4,0.3622124
Maximino Raupp,2.1,3.3886313
Jason Ainsworth,0.1,1.6980517
Mike Alexander,-0.2,0.54425365
Eddie Castro,3.2,1.3659738
Donald Martin,2.5,1.9463905
Willie Lazo,-0.2,1.6850319
Junior Caminero,3.7,3.5553544
John Burge,0.1,2.0650635
Felix Garcia,0.4,0.28334197
Ricky Padilla,0.5,1.1131864
Andy Quinones,-0.1,-0.2516718
Justin Charette,1.9,0.7338797
Sergio Villalvazo,0.2,-0.046296585
Triston Casas,-0.5,0.35345796
Jeremy Jones,0.1,0.71355754
Sandy Garcia,1.2,1.0020835
Josh Russ,2.5,1.3655795
Nate Pinkerton,-0.1,0.7865479
Jimmy Johnston,1.7,1.2127244
Antonio Rubio,0.1,0.73898304
Jon Moynahan,0.1,0.48897985
Peter Williams,0.1,0.5119046
Melvin Landeros,4.9,4.123535
Carlos Martinez,0.1,0.45990518
Willie Lazo,2.4,1.2462913
Ryan O'Hearn,-0.1,0.63668954
Armando Barajas,0.7,0.61315495
Joe Wooley,-0.1,1.3435373
Guangbiao Meehan,4.6,1.4409639
Ty France,0.4,-0.07871445
Andy Noonan,1.7,1.1326734
Miguel Reyes,0.2,0.46656233
Jonathan Cooper,4.5,3.3595974
Yasahiko Nishiyama,0.8,1.2063233
Nolan Schanuel,3.3,2.016899
Bryce Harper,-0.7,0.7681741
Nate Sheehan,0.1,0.37164304
Nate Pinkerton,0.3,0.6587523
Shi-xian Rang,-0.2,0.66536796
Curtis Mead,3.3,3.6081016
Sung-woo Kim,3.0,2.021354
Josh Gilbert,0.2,0.046050612
Elias Cardenas,-0.1,0.020063806
Miguel Vargas,-1.4,0.9991981
Nick Osborn,-2.0,-0.11561034
Carlos Median,-0.7,-0.6216551
Francisco Vargas,8.9,9.381819
Lorenzo Garcia,5.4,6.5384364
Tony Estrada,-0.4,0.2799172
Willie Lazo,-0.1,0.11226721
Xavier Pantoja,-1.0,0.049690444
Steve Knutson,-0.1,0.37511697
Luis Santos,1.2,1.5114267
Steve Mecca,1.3,0.45329964
Hector Roa,5.8,3.650364
Armando Barajas,2.1,1.7094688
Jacob Berry,-0.1,1.3136767
Shane Schmidt,2.1,0.94412965
Dave Ellis,0.2,-0.14674886
Ernesto Partida,1.2,0.94821614
Luke Dunagin,0.1,-0.811517
Hideyuki Shinozaki,1.7,1.1745614
Noah Dudley,-0.1,0.6279438
Jimmy Johnston,2.2,2.3028252
Justin Connell,-0.1,0.8694684
Ricky Padilla,0.1,0.85572976
Clint Bonk,0.5,1.5544176
Juan Flores,0.1,0.08158405
Osvaldo Galan,2.6,2.2383237
Luke Adams,2.7,2.8866167
John Ealy,0.2,0.98874855
Carlos Martinez,0.9,0.46581438
Steve Reese,3.2,1.7793341
Doug Sheehan,0.1,-0.0702353
Jeremy Sutton,-0.1,0.4990034
Danny Ladrech,1.0,0.72899777
Arturo Bautista,6.1,6.3542194
Wenceslas Aguas,3.9,4.198159
Gabe Lopez,2.3,1.3477861
Swaroop Miller,0.2,1.6055481
Al Castillo,0.2,0.60632503
Guangbiao Meehan,2.4,4.304524
Ryan Askew,0.1,0.05207485
Jose Prats,2.6,3.7773657
Jason Way,-0.4,0.5650411
Carter Hamm,0.1,-0.08492335
Hector Muniz,0.4,2.0677943
Devin Martin,0.2,-0.11911072
Javier Olea,3.1,0.7209819
Edward Quinonez,-0.1,1.5319371
Freddy Fumero,0.2,1.014488
German Garcia,2.8,0.87763315
Andrew Benintendi,0.5,-0.2098117
Donald Martin,1.2,1.9364644
Bryan Macgregor,2.5,2.2761571
Jorge Martinez,0.2,0.55377823
Chris D'Andrea,-0.2,0.41933617
Matt LaFond,1.8,1.2916948
Antonio Martinez,0.3,0.9076716
Javy Banuelos,2.7,1.4015719
Vladimir Guerrero Jr.,2.2,3.623764
Kyle Whisnant,3.1,2.9228213
Gavin Conticello,0.3,0.50692135
Josh Gilbert,3.0,0.96575385
Mario Izurieta,2.9,1.7645301
Curtis Mead,4.8,1.9523474
Alexis Lebron,1.9,1.1522826
Tokita Ichimura,1.4,1.4171195
Yordan Alvarez,0.8,-0.01053864
Samuel Basallo,1.5,1.8964795
Jim Rice,0.2,-0.09571832
Cory Hinman,0.4,0.3339782
Orlando Anaya,-0.9,0.38120416
Maximino Raupp,0.4,3.3002477
John Larson,4.4,3.2630272
Francisco Rios,-0.1,-0.15584815
Tony Garcia,3.1,1.9141405
Rafael Castro,2.6,1.2296059
Antonio Rubio,0.7,1.032954
Jorge Gonzalez,0.8,0.29308265
Guangbiao Meehan,-0.2,1.2645876
Javier Olea,0.2,0.5651515
Jose Tapia,3.2,4.211465
Antonio Garcia,5.3,4.151681
Chris Farrow,0.2,1.3425012
Gabriel Arango,0.1,0.45767686
Luis Avala,0.2,1.0772271
Roberto Reyes,0.9,0.6503285
Sandy Garcia,3.1,2.9024072
Nick Kurtz,0.3,-0.059174698
Raul Hernandez,2.5,0.75099343
Hui-ying Chai,1.3,2.5763645
Manny Guerrero,1.5,3.293676
Luis Barajas,2.0,0.22420011
Reinprecht Brown,-0.7,0.71731275
Medardo Hein,-0.1,1.0403165
Jonathan Jezierski,0.1,0.004048087
David Cortez,2.5,4.9745374
Joe Lazar,0.1,0.7865351
Arturo Alvarez,2.7,1.9122412
Cesar Aguayo,2.8,3.0829155
Luis Santos,0.7,0.9465627
Luis Valdez,0.2,0.6218551
Leonardo Bustamante,0.1,0.74866706
Nick Kurtz,4.9,1.6912332
Ryan Cromey,0.1,0.29501384
James Wood,-1.3,0.06285765
Medardo Hein,0.3,0.74511176
