Name,Actual_WAR,Predicted_WAR
Francisco Lindor,5.3,2.3209498
Chris Steibel,-0.1,0.84835523
Jesus Rocha,2.2,1.5799772
Roman Anthony,0.6,1.8621297
Mark Frisch,-0.1,0.9661125
Carlos Jorge,2.0,2.077073
Reynaldo Lopez,-0.3,-0.35527453
Marcos Hammer,3.7,3.4677117
Mike Moulton,3.3,1.229545
Bill Perez,3.1,1.1613357
Jeremy Rodriguez,0.7,0.29069516
Riley Unroe,0.3,0.9619107
Ricardo Zapata,-0.2,-0.43983355
Victor Rojas,1.9,1.0794272
Trey Yesavage,-0.2,-0.57952076
Alex Cornejo,3.8,1.2181709
Gary Curtis,0.5,1.6482337
Rick Hall,2.7,3.5736787
Juan Flores,2.8,0.64301634
Armando Blanco,0.2,0.41680032
Aaron Torres,1.0,0.24327226
Mike Hansen,1.5,0.47532585
Drew Rucinski,-0.1,-0.44039395
Curtis Mead,1.6,1.357366
Norm Gallentine,0.2,0.29763117
Jonathan Cooper,4.3,4.763464
Ruben Santiago,4.0,3.6682837
Patrick Sandoval,-0.2,-0.44115224
Demetrius Jordan,1.1,0.7454454
Tyler Locklear,0.6,1.6730981
John Flower,0.4,0.42892557
Jesse Scholtens,-0.1,-0.36324498
James Outman,3.4,2.0798767
Corey Benedict,0.1,1.222816
Teoscar Hernández,-0.9,0.05023193
Jorge Butron,0.2,0.52763474
Antero Ribafria,1.2,1.7201868
Javier Olea,3.1,0.789335
Ryan Waldschmidt,0.3,0.21185239
Bradley Moy,0.1,0.36477238
Nelson Lopez,2.2,2.8510702
Hector Vigil,1.6,1.2796545
Caleb Duff,4.7,3.5442255
Joey Ortiz,2.2,1.812599
Antonio Alvarez,2.6,1.2988601
Chase Burns,0.1,-0.4463803
Manny Guerrero,4.6,2.6911573
Fernando Cova,4.9,3.6050386
Jake Corrigan,0.1,0.60120493
Felipe Roque,-0.9,-0.45340553
Antonio Gonzalez,2.6,2.787677
Armando Alvarez,-0.3,1.1313301
Jared Jones,-0.2,-0.3158774
Alexis Tapia,4.0,2.8534944
Michael Petite,0.4,1.212259
Hector Muniz,0.3,1.431914
Kanehisa Arakaki,0.2,0.02722934
Keith Webber,0.6,2.0556226
Swaroop Miller,0.2,1.1589935
Dave Aguilar,1.7,1.4253743
Bill Bonnett,0.2,2.1397953
Nick Roselli,0.1,0.3789056
Tony Duran,2.4,2.3200226
Enrique Figueroa,1.7,1.4567888
Tome Maggessi,2.6,3.1564422
J.T. Realmuto,2.8,2.291634
Brady Murrietta,-0.4,-0.08051199
Robert Santos,3.9,3.0811057
Mike Booker,-0.6,2.1349692
Gastão Guards,-0.1,1.8307532
Eddie Mendoza,1.7,1.206402
Scott Hughes,-0.6,0.20441763
Blake Mitchell,3.5,2.4957292
Tony Butler,5.4,5.2146306
Antero Ribafria,5.3,3.1336172
Jim Erickson,-0.2,0.3138016
Moises Gomez,0.7,0.9593586
Jose Lopez,-0.2,1.3071114
Oumar Breeding,0.1,0.028809477
Trent Harris,-0.1,-0.42517516
Henry Davis,-0.1,0.3325193
Mike Alexander,3.4,1.2959478
Josh Walker,0.4,0.23287657
Lorenzo Garcia,5.3,6.4669843
Kyle Teel,-0.1,-0.44212732
Sid Ruppert,0.8,1.5194385
Joey Loperfido,-1.2,0.47395313
Anthony Volpe,1.6,3.1192653
Parker Meadows,4.2,2.501206
Bryce Miller,-0.7,-0.4685496
Vicente Ferrer,0.1,0.80516654
Brandon Warren,1.0,0.5288901
Tarik Skubal,-0.1,-0.46014097
Raul Oronia,0.5,0.30629086
Felipe Marquez,2.4,3.7900925
Jose Quijada,4.3,3.4263563
Alejandro Gonzalez,0.1,0.83005846
Owen Wild,-0.4,-0.4424313
Matt Bruns,1.9,1.8974816
Chris Olson,-0.3,0.112431094
Medardo Hein,-0.4,0.7054545
Josh Falson,1.7,2.423928
Ben Rice,1.5,1.0136986
Jeff Larson,4.3,4.155421
Packy Naughton,-0.1,-0.52652913
Jose Familia,6.4,6.611123
Bobby Miller,-0.8,-0.4008275
Ryan Mountcastle,-0.4,1.4642152
Kyle Snyder,-0.6,0.33151767
Jose Hernandez,0.6,1.607488
Felipe Marquez,1.0,3.0577474
Corbin Carroll,1.2,3.681504
Willie Falla,0.5,0.8032462
Chris Sale,-0.4,-0.42586666
Sid Ruppert,0.4,2.464608
Angel Genao,-0.5,-0.21484262
Kahlil Watson,0.2,0.7352622
Andres Munoz,1.2,1.4541011
Tyler Bates,-0.1,0.15231474
Ching-Hsien Ko,-0.1,1.0859747
Keith Harz,1.5,1.2464174
Drew Romo,1.2,1.3004647
Antwone Kelly,-0.1,-0.4119478
Juan Flores,4.8,1.6152642
Yeremi Cabrera,1.6,0.36626604
Jesus Villalva,3.2,2.1711528
Antonio Garcia,1.7,2.5207765
Roger Arendt,0.2,0.06978891
Alex Roldan,0.4,2.5629838
Taj Bradley,0.1,-0.4273511
Jack Brannigan,-0.4,0.31695974
Korey Tomazin,0.5,1.1313632
Bill Mejia,0.4,1.383671
Parker Meadows,3.6,4.0003877
Reese Olson,-0.6,-0.40693453
Cesar Aquino,-0.1,-0.47199675
Elijah Evans,1.1,0.8079842
Dillon Head,4.0,3.0157485
Aaron Nola,-0.2,-0.2728415
Yandel Ricardo,1.8,1.6734214
Omar Ramirez,0.5,-0.09302908
Rafael Seballos,0.7,0.5425486
Griffin Burkholder,3.3,3.3851564
Gabriel Davalillo,-0.2,0.07961539
Michael Busch,0.6,1.9489629
Victor Scott II,2.4,1.8302333
Armando Barajas,2.5,1.9914956
Joe Martini,2.2,1.1797888
Ryan Stanifer,-0.2,2.1010687
Angel Valle,0.5,0.9843403
Dustin Antoine,2.3,0.06676473
Juan Vazquez,-0.2,1.5096182
Edgar Rodregez,3.9,1.0309696
Roberto Carrillo,4.3,3.08275
Shane McClanahan,-0.9,-0.49198234
Ivan Manriquez,3.3,1.2418209
Antonio Charo,6.0,5.249357
Nilas Cliver,-0.1,0.4465288
Parker Meadows,3.1,4.4544725
Harry Ford,1.2,1.0217634
Huascar Brazoban,-0.1,-0.47784314
Mike Ruffin,4.8,3.375902
Mike McCallum,-0.2,0.25320312
Mike Tiensuu,1.2,1.2465445
Ozzie Albies,1.8,2.831358
Jason Wiblin,0.9,0.9403798
Luis Murillo,0.1,-0.21135372
Steve Harden,1.6,-0.60981786
Matt Miller,0.3,0.747018
Alexis Ferrufino,-0.3,0.34266454
Jay Bowman,0.5,0.6908716
Jorge Lazaro,4.4,1.2487022
Mario Gomez,0.2,-0.11518859
Bill Smith,0.5,1.8419398
Brady House,1.7,1.4419199
Butch Reber,-0.4,2.661323
Warren Lynch,0.8,1.0204815
Gabriel Davalillo,0.8,0.14045793
Owen Scarlett,0.5,1.0591514
Gabriel Dominguez,-0.1,0.46473485
Carlos Ortiz,0.1,0.09898479
Justin Steele,-0.3,-0.5528162
Nick Martinelli,-0.1,-0.15989737
Felix Garza,1.3,0.4716827
Ivan Herrera,0.3,0.7671965
Liberts Lowe,0.5,0.41383487
Maximino Raupp,2.1,2.5943272
Ron LaRosa,0.8,0.99775696
Victor Scott II,1.9,1.7224723
Bobby Graciano,0.4,0.92366874
Robbie Correa,1.9,0.9240045
Anderson Jimenez,-0.1,-0.39928445
Lorenzo Uribe,4.0,1.909789
Mike Chavez,0.1,0.16164374
Blaze Alexander,-0.1,0.20403813
Jett Williams,3.3,1.9057579
Chas McCormick,-0.3,0.47456005
Ryan Matthews,3.5,0.54908955
Victor Villareal,0.1,0.42615002
Josh Winckowski,-0.1,-0.4118899
Jeremy Kent,1.2,0.21471745
Emilio Juarez,0.9,0.7780994
Ruben Figueroa,0.9,1.0134491
Juan Galvez,0.2,1.9241946
Gavin Gallaher,1.9,1.9981263
Dan Olson,0.1,0.6110907
Angel Lora,5.5,3.3289008
Anderson Navas,-0.2,0.50335604
Al Castillo,0.7,1.0466737
Kyle Long,0.4,0.7376419
John Flower,0.2,0.3501484
Josh Martin,-0.2,1.0833287
Mario Izurieta,5.9,6.6965218
Moises Reyes,1.8,4.4566183
Fernando Cova,2.5,3.5096433
Melvin Rodriguez,0.1,-0.13666546
Orelvis Martinez,3.7,2.480011
Brandon Steele,0.6,2.0053747
Ricardo Gallego,-0.2,0.33471236
Jerry Sotos,0.2,0.81871665
Porter Hodge,0.2,-0.42680022
Nate Sheehan,1.2,0.4951677
Miguel Amaya,2.5,0.84585965
Luis Anaya,-0.2,-0.49664074
Antonio Rosa,0.3,1.7934084
Antonio Alvarez,3.1,1.5446271
Miguelangel Boadas,-0.1,-0.44135973
Carlos Carreno,1.6,0.46349066
Trea Turner,0.5,1.1664639
Jackson Chourio,-0.3,0.23148288
Cesar Aguayo,0.3,1.7262402
Jorge Lazaro,1.0,1.2214121
Alejandro Rosario,-0.2,-0.51611155
Estanislau Barbato,0.8,1.0988249
Juan Guerra,6.8,7.9266553
Edwin Sanchez,1.4,1.1583298
Jackson Chourio,-0.4,-0.27411693
Billy Jones,0.7,1.2159791
Raimundo Nungaray,-0.1,-0.41313985
Jeremy Duncombe,2.6,3.0884445
Gus Ruiz,2.2,1.6377422
Pat Guggenbiller,0.8,0.8001442
Victor Segoviano,0.2,1.3034213
Lawrence Butler,3.9,4.004457
Vinnie Pasquantino,-0.6,1.2121952
Alex Bregman,-0.5,0.21186703
Chase DeLauter,2.0,3.4015207
Mario Sanchez,0.4,0.45019597
Jesus Rocha,-0.5,1.4200367
Will Chance,7.0,2.8532333
Chris Johnston,1.5,0.7317958
Anderson Munoz,-0.2,-0.39141446
Jacob Lombard,6.7,7.898162
Justin Heidt,2.1,3.0644212
Orelvis Martinez,-0.6,1.1905564
Chris Dunn,1.1,0.5296509
Zack Scartozzi,2.5,2.1906824
Alex Chirinos,1.1,0.04609944
Peter Williams,0.3,0.6170626
Mike Henry,0.7,2.3144786
Jason Herrera,0.8,2.6691935
Tai Peete,0.6,2.0883708
Miguel Juarez,0.5,0.4019745
Jose Siri,2.0,1.6749864
Ruben Lis,-0.3,0.9528775
Edwin Santiago,4.8,4.6409297
Justin Heidt,0.7,1.1500696
Daulton Varsho,1.1,2.3712952
Alberto Rios,0.5,0.3954884
Kazuya Fukuda,0.9,1.0547982
Clint Bonk,2.3,0.2621062
Manny Castillo,1.9,2.26052
Jeremy Duncombe,2.4,3.1806655
Justin Steele,-0.2,-0.3595589
Elly De La Cruz,7.7,5.6127214
Eric Palka,2.7,5.109374
Angel Feliz,3.6,1.8544058
Manny Machado,2.5,1.4264426
Warren Calcano,2.1,0.93838996
Mario Gomez,0.1,0.009939502
Werner Sykora,7.8,7.7954125
Ed Burtner,4.0,4.5154862
Javier Olea,0.9,1.3649974
Armando Vasquez,0.4,0.6628145
Jordan Elizalde,-0.1,0.27737474
Miguel Soto,3.9,2.2241218
Manuel Margot,2.3,1.4309847
Billy Jones,0.4,1.359008
Jake Cronenworth,2.3,0.9772631
Corbin Burnes,-0.2,-0.44360906
Tyler O'Neill,2.4,1.4227018
Manny Castillo,2.2,2.4768276
Heliodoro Jotta,5.1,3.980862
Medardo Hein,0.4,0.8553932
Miguel Mora,1.9,1.8838046
Victor Alba,1.7,1.7269987
Rich May,1.2,1.908185
Alexis Lebron,-0.5,2.0823956
Jeziel Boekhoudt,0.1,-0.37711394
Alberto Torres,-0.1,-0.4835751
Joe Hendricks,0.4,0.61840796
Asa Walter,-0.2,1.0828896
Allen Facundo,-0.3,-0.4164526
Adbiel Feliz,0.1,-0.026831318
Eddie Sanchez,1.7,2.4375892
Sean Hermann,-1.2,-0.506978
Jansel Luis,2.6,2.7205384
Carson Benge,0.5,0.68025994
Josh Hinton,-0.1,0.68230194
Manny Cuahuizo,0.4,1.0667757
Clancy Lewis,0.8,1.0264691
Bo Bichette,1.5,2.7717597
Jesus Renteria,3.2,2.3379025
Quentin Young,4.8,3.0485876
Michael Massey,1.6,1.2197927
Joe Lazar,0.1,0.9446118
Ryan Roberts,0.9,1.0736252
Ryan Weathers,-0.4,-0.50625145
Jason Fryman,-0.2,0.41632506
Ronel Blanco,-0.1,-0.48704967
Al Castillo,0.2,1.2315805
Chris Simmons,-1.3,0.4319647
Mindaugas Leach,1.4,1.1493448
Guillermo Sosa,2.0,0.7050875
Josh Chalifoux,1.4,2.6868513
Alberto Guerrero,1.5,1.610899
Enrique Bradfield Jr.,3.3,2.1243799
Hugo Negron,-0.3,-0.120904565
Chris Grosso,0.3,1.9278219
Cole Fontenelle,0.8,1.4297721
Ralphy Velazquez,5.8,3.7087965
Hao-Yu Lee,-0.1,1.2960535
Tony Alejandro,0.1,-0.4397639
Juan Perez,-1.1,-0.20561579
Roger Montoya,-0.3,0.78590125
Alban Isufaj,3.6,1.7213607
Kyle Hodge,0.9,0.7963144
Daniel Hurtado,0.9,0.40789014
Julio Martinez,0.4,0.23628393
Logan Gilbert,-1.0,-0.4551439
Konnor Griffin,1.8,2.9536815
Miguel Soto,1.0,0.64457726
Sean Manaea,-0.1,-0.44360125
Rich Gonzalez,3.8,3.9939578
Austin Riley,2.2,0.92061466
Edwin Arroyo,3.5,0.57191336
Cory Adkins,1.8,0.87856907
Jeff Levy,0.6,3.096205
Mike Atkins,7.1,7.355308
Ethan Bass,2.4,2.9812114
Carlos Taveras,1.6,2.3057144
Quinn Priester,-0.1,-0.5580835
Raul Fandino,0.8,0.91926926
Aaron Nola,-0.2,-0.27036846
Ismael Rubio,0.2,-0.11960827
Vicente Orta,0.7,1.5523778
Edward Quinonez,0.5,0.88065493
Orelvis Martinez,0.5,1.9208475
Eddie Mendoza,2.5,1.9970617
Mike Friedman,-0.4,0.96057135
Daniel Delgado,0.1,0.4999189
Brian Kline,1.8,1.8093213
Rafael Marchan,1.3,1.2691603
Jackson Merrill,2.9,6.208171
TJ Friedl,-0.5,0.37543565
Blake Mitchell,0.2,-0.21689104
Nick Osborn,0.1,1.3539323
Victor Segoviano,2.7,1.2738029
David Chavez,6.1,5.338568
Juan Garcia,1.1,1.1070913
Jose Ramirez,3.9,5.2867084
Alexis Tovar,1.5,0.488243
Pat White,2.3,1.5329964
Charlie Condon,-0.3,0.0970928
Oscar Rayo,0.1,-0.39300635
Rob Refsnyder,-0.2,1.1681646
Matt Copeland,1.8,1.0074654
Antony Peguero,-0.2,1.177521
Francisco Anchondo,2.0,0.68290627
Casey Schmitt,0.7,0.8985389
Alex Rios,0.1,0.6945927
Francisco Gaitan,0.1,0.4011261
Dale Sweet,1.3,1.4972925
Justin Wensel,0.2,0.4193833
Pedro Lopez,2.2,1.583862
Manny Alvarez,0.9,0.111214526
Braden Montgomery,2.8,1.8611368
Jett Williams,0.5,2.5171382
Jonathan Kelly,5.9,5.8661637
Riley Greene,3.5,4.3524065
Jose Lopez,5.5,3.8802543
Johnny Roels,-0.1,0.24807563
Greg Perkins,0.7,0.7415569
Matt Slade,2.1,0.94724315
Marcos Soto,8.0,5.7772303
Melvin Becerra,1.0,1.0555344
Matt Copeland,1.6,1.7934383
Erik Gifford,4.7,2.4754374
David Fry,1.0,1.6578764
Ian Petrutz,0.3,2.0139663
