Name,Actual_WAR,Predicted_WAR
Evan Carter,1.2,1.884724
Steve Murphy,-0.2,-0.10250498
Keith Olson,0.1,0.9218062
Parker Meadows,5.2,3.8609068
Jamie Rable,0.3,1.6851962
Manuel Espinoza,0.1,1.0633395
JJ Bleday,-1.1,2.2831001
Jason Herrera,2.0,1.8610821
Jaden Calhoun,3.0,1.8248101
Sean Duran,-0.5,1.4728901
Pete Crow-Armstrong,2.8,3.745613
Kevin Foss,0.6,0.8276334
Brock Ketelsen,0.5,4.724862
Ivan Rodriguez,3.1,4.524706
Nelson Santa,0.7,0.4164617
Corbin Carroll,1.2,3.3498495
Roman Anthony,2.2,3.6051042
Mario Izurieta,6.7,5.8969364
Matt Sutton,0.5,0.6335113
Josh Falson,1.7,2.6854718
Mike Paynter,3.5,3.1295688
Mario Garcia,1.9,1.3994452
Carlos Arellano,0.7,0.5924088
Leody Taveras,1.5,2.0609791
Josh Cheeseman,4.1,2.3478882
Connor Randell,4.8,2.6740944
Jerry Sotos,0.1,0.7426576
Pete Crow-Armstrong,5.2,4.1130157
Dan Griffth,-0.1,0.8568459
Ed Burtner,1.3,0.70242256
Deion Cole,0.5,0.5386202
Nelson Santa,0.1,0.29550475
Jesus Renteria,4.9,3.000333
Joe Kinsel,3.0,1.5551584
Angel Ramos,5.4,3.3073006
Franklin Escareno,0.1,-0.8380998
Sandy Cepeda,2.2,1.0369661
Steve Bauck,-0.3,0.29993564
Byron Buxton,3.2,2.8775537
Leody Taveras,1.4,2.2702868
Will Chance,6.5,4.8649225
Jose Ponce De Leon,0.9,1.5956159
Anthony Pack Jr.,1.6,1.0578223
Emanuel Rodriguez,1.0,3.2508688
Parker Supple,1.0,1.5886946
James Tronstein,0.8,1.2327597
Garrett Mitchell,0.4,1.7305961
Mike Burnett,1.0,1.7865388
Jesus Rocha,2.0,0.64508474
Sal Valdez,-0.1,1.1132084
Edgar Martinez,3.1,1.6767317
David Colley,0.7,0.83948237
Josh Cheeseman,6.2,2.8511078
Dan Griffth,-0.1,1.0249751
Jose Pirela,0.1,2.295138
Jonah Foley,3.1,4.7719398
Josh Frey,5.4,5.8128715
Harrison Bader,-1.8,0.48530537
Josh Frey,2.4,3.472157
Alex Orona,1.0,0.99315614
Jorge Esquivel,4.9,2.4245713
Antonio Mugica,-0.9,0.54927295
Jordan Arguello,-0.2,2.4255016
Rick Hall,6.0,6.992639
Mario Villarreal,0.9,1.6764418
Mordechai Sender,2.3,1.8125901
Josh Frey,6.0,5.163997
Michael Ortega,-0.1,0.06642787
Jose Rodriguez,4.7,2.7789493
Orlando Stoneman,-0.2,0.6072249
Alex Bravo,-0.1,1.2730054
Jesus Diaz,1.8,0.84502494
Jose Pirela,1.7,2.4188087
