Name,Actual_WAR,Predicted_WAR
Andy Polanco,1.0,0.76244456
Josh Palacios,0.9,1.3346461
Danny Gonzales,1.8,0.1773404
A.J. Nash,-0.4,0.23665254
Chris LaMond,-0.1,0.3038916
Chris Andrews,0.1,-0.20995952
Manny Solano,0.1,1.1462607
Josh Price,4.4,3.8871667
Brandon Steele,1.5,0.9471056
Jeff Levy,2.1,1.1451949
Earl Carpenter,2.5,2.4764278
Scott Blatt,0.1,0.4665508
John Ellithorpe,1.2,1.1077048
Mike Burnett,-0.4,0.030558564
Roberto Balderas,0.1,0.011922778
Hector Torres,-0.1,-0.13120042
Henry Ramos,1.0,-0.06670825
John Bricker,-0.1,0.09487284
Kenni Gomez,2.8,1.6409023
Joe Keehan,-0.6,0.84129524
John Ellithorpe,1.9,1.568826
Dale Sweet,1.8,1.0372179
John Robben,3.2,1.5970181
Matt Long,0.5,0.8627466
Jimmy Dempewolf,1.6,1.7946453
Franklin Garcia,0.3,1.4936386
Mike Prado,0.8,1.1731973
Brian Wallace,-0.1,-0.45745212
Gabriel Lara,0.2,1.4140329
Ricky Holguin,0.2,0.6626411
Roger Saenz,0.2,-0.051712766
Pierceson Pursel,-0.7,0.8833719
Jeff Levy,3.9,2.6930559
Jake Kimhi,-1.2,-0.24834651
Allan Castro,1.7,1.1613759
Victor Villareal,0.7,0.49523857
Justin Fuller,0.2,0.8770023
Brent Hill,1.0,1.3979311
Robert Santos,3.3,1.7824054
Fernando Cova,0.3,0.020199487
Armando Archila,-0.7,0.30254072
Angel Ramos,1.6,2.2538207
Gabriel Santiago,0.2,0.5278939
Matt Bianchi,1.9,2.189173
Brett Cain,0.6,0.54213846
Brandon Marsh,-0.5,0.35725337
David Thornton,0.7,0.10139913
Jose Vidal,6.2,3.2367194
Steve Doherty,1.0,0.26517105
Mike Fuller,0.2,0.017783564
Josh Price,5.9,4.374876
Mario Garcia,1.4,0.90633124
Jake Weaver,-0.4,1.32311
Matt Bianchi,2.6,2.2927148
Riley Greene,4.8,4.4007254
Emmanuel Rodriguez,3.7,2.374332
Elis Cuevas,0.9,0.64319205
