Name,Actual_WAR,Predicted_WAR
,4.6,1.1
,0.2,-0.4
,0.2,0.5
,0.5,0.6
,-0.3,-0.4
,2.8,0.5
,1.8,3.8
,0.1,1.5
,-0.1,0.6466531782627006
,-0.8,1.1
,2.0,2.4
,1.6,0.14763039791246804
,-0.3,-0.4
,-0.1,0.5
,2.4,1.5
,0.1,0.5
,-0.2,-0.3
,5.0,3.0
,-0.2,0.2
,-0.2,-0.5
,3.0,1.4201216456017587
,-0.4,-0.2
,1.9,2.5
,-0.4,-0.4
,0.9,1.2
,-0.1,-0.5
,0.7,0.5
,5.0,4.2
,0.7,1.3
,3.1,2.4
,2.6,0.6
,0.4,1.4
,3.1,1.2
,0.1,-0.35754155036511337
,4.1,1.0
,0.2,0.6
,2.5,1.0
,0.4,1.6
,-0.8,-0.4
,1.6,1.0
,1.2,0.26910327023055103
,-0.2,-0.5
,0.1,0.7
,0.3,0.9
,0.2,-0.3
,-0.8,1.5
,0.1,-0.4
,-0.6,-0.6
,-1.1,-0.4
,-0.1,-0.4
,2.5,0.2
,1.0,0.1
,0.4,1.3
,-0.1,-0.1
,-0.3,0.7
,1.7,0.4
,1.1,3.0
,0.1,-0.5
,1.0,2.0911390879904372
,2.7,3.6
,3.6,1.5
,-1.2,-0.4
,3.3,0.1
,0.4,0.4118473788768503
,4.3,3.7
,2.5,0.5
,0.6,0.1
,-1.5,0.383501558928649
,-0.2,-0.4
,0.5,0.6300428979733116
,-0.2,-0.4
,1.8,0.3
,4.0,1.5
,0.1,-0.6
,1.7,2.062431799316463
,-0.4,-0.4
,-0.2,1.1
,5.7,3.992704880249079
,2.7,2.6
,-0.5,0.3
,-0.4,-0.4
,3.0,1.0
,0.2,1.8374073696709765
,0.1,-0.3
,2.9,3.6
,3.6,5.003568017153615
,1.3,1.9490467632554427
,-0.1,1.1
,-0.1,0.6
,-0.3,2.0
,-0.4,0.4
,3.2,2.0
,1.2,2.6
,3.5,1.3
,-0.9,-0.3
,-0.1,0.5
,4.0,2.5
,-0.2,-0.4
,-0.2,1.8
,-0.1,-0.3
,-0.8,-0.5
,-0.9,-0.5
,-1.2,-0.5
,0.1,0.2
,9.9,6.314278678440577
,0.6,2.3
,-0.4,1.2
,-0.1,-0.1
,-0.2,-0.4
,0.4,0.2
,-0.4,-0.36680945556249683
,4.2,3.2
,-0.8,0.8
,0.8,1.1
,-0.2,-0.3
,1.4,2.0
,0.1,0.5
,2.0,0.4
,0.3,0.9
,-0.5,2.4
,-0.2,0.3
,2.7,2.0
,2.1,1.8
,3.8,2.6
,0.4,-0.4
,3.2,5.478265980581904
,-0.6,0.6
,-0.2,-0.4
,7.2,2.5
,-0.2,-0.3
,-0.8,0.1
,-0.2,-0.5
,0.2,1.1
,3.8,0.7
,1.7,0.8
,0.1,1.1
,0.8,0.4
,-0.1,-0.4
,2.6,2.2
,0.2,-0.5
,0.1,-0.4
,1.6,1.2
,-0.7,0.7
,0.1,0.8
,2.2,0.8
,-0.1,1.5
,0.1,-0.5
,3.7,1.4
,-0.7,0.8
,-0.1,-0.4
,-0.1,1.5
,-1.1,1.3
,2.8,0.3
,-0.1,-0.4
,-0.1,1.813298884575157
,1.2,1.2
,0.5,0.8
,1.1,1.2
,-0.2,1.1
,-0.2,0.2
,-0.2,-0.3876561730197657
,-0.2,-0.4
,2.2,2.1
,-0.5,1.4
,3.9,1.2
,0.1,-0.4
,-0.1,-0.4
,1.6,1.1
,1.4,3.502653421482344
,-0.2,-0.3
,2.1,1.1
,0.4,0.7
,1.5,1.4
,-0.2,1.0
,-0.2,0.4
,3.3,1.8151877155330576
,1.6,2.2
,0.3,0.9
,-0.4,1.0
,-0.1,-0.6
,0.3,0.7
,-0.7,0.9
,1.4,1.2
,-0.7,-0.4
,-0.1,-0.3
,0.2,0.9268890575929636
,-0.6,-0.5
,-0.2,-0.4
,0.7,-0.1
,1.0,0.3
,-0.4,0.6
,-0.3,-0.3
,-1.0,1.9
,-0.9,0.4
,-0.7,-0.4
,3.7,1.2
,3.0,2.0
,-0.1,-0.1
,1.0,1.2
,-0.3,1.0
,0.1,0.3
,-0.1,0.5
,2.7,1.7
,2.0,0.4
,-0.2,0.2
,0.3,1.1
,5.9,3.7
,2.9,0.6
,2.8,0.5
,2.3,0.7
,-0.1,-0.5
,0.3,1.4
,-0.7,-0.4
,1.8,0.6
,2.4,1.6
,1.6,3.5
,0.2,1.3
,0.5,0.5
,0.6,0.2
,1.0,1.5
,0.8,0.7
,-0.4,1.1
,-0.6,-0.3
,2.4,1.0
,-0.1,0.5
,3.0,1.5
,1.2,1.2
,0.3,0.2
,1.8,1.0
,0.7,0.6
,-0.9,0.2
,1.4,1.5
,0.6,1.1
,-0.4,-0.5
,0.3,1.0
,3.0,2.4
,1.8,1.3
,4.0,3.0
