Name,Actual_WAR,Predicted_WAR
Sadanobu Kano,-0.4,1.548137
Ruben Cavazos,1.6,3.021704
Niccolo Castillo,2.5,1.4358293
Juan Vazquez,0.5,-0.29732817
Tyler Carrithers,2.3,1.7134274
Nick Lilly,4.5,2.1741893
Brady Harris,-0.7,1.3477908
Alvaro Salinas,2.6,1.6980833
Ronald Acuna Jr.,0.8,0.35481614
Mike Friedman,0.8,0.16096407
Byron Chourio,1.5,0.88177
David Johnson,0.4,0.09811698
Jose Hernandez,0.6,1.7172672
Daylen Lile,1.2,1.9384626
Jorge Diaz,-0.9,0.26007313
Dave Braine,0.6,-0.22084709
Alberto Guerrero,0.5,1.7966338
Jason Ainsworth,2.6,0.7557621
Andrew Duncan,-0.9,0.38929728
Ricardo Gallego,-0.2,0.37416774
Hunter Renfroe,-1.1,1.1121758
Francisco Martinez,6.8,4.459993
Esmil Valencia,3.8,2.652677
Mickey Moniak,0.2,0.62447065
Josh Harris,-0.1,0.35420793
Jason Tucker,1.1,1.9413003
Antonio Alvarez,2.3,1.7019705
John Cruz,2.9,1.937464
Brian Kline,0.8,0.3646944
Henning Brown,1.7,2.022116
Jorge Butron,0.7,0.51008826
Wilfredo Zurita,0.3,0.7259235
Tim Woods,4.0,2.1123078
Chance Wynne,3.0,2.3711686
Yordalin Pena,0.9,1.1686958
Melvin Rodriguez,2.3,4.5213957
Laurente Magnaldi,0.7,1.2418276
Carlos Cajigas,1.1,0.7229899
Jesus Rocha,0.9,1.58514
Alexis Cortez,6.6,2.1514938
Ruben Cavazos,0.4,2.6414075
Bobby Gandy,0.1,0.85221434
Edgar Martinez,1.3,1.8672432
Robert Mangold,1.2,1.4087907
Fernando Tatis Jr.,8.0,6.714597
Joreão Baia,0.5,0.55146044
Jose Hernandez,0.2,2.073216
Salvador Castro,0.3,0.52370435
Tony Vargas,3.1,2.3266864
Danny Berger,4.9,3.147937
Mike Yastrzemski,1.2,1.440071
Gabriel Ramirez,2.3,2.3406465
Efrain Cervantes,2.9,1.8080382
Fernando Tatis Jr.,3.6,4.3114667
Juan Munoz,2.5,2.9015212
Manuel Velez,7.2,5.9377656
Dan Lillie,1.1,2.423252
Edgar Martinez,0.5,3.6014402
Felix Garza,1.2,-0.12989277
Earl Carpenter,0.6,2.7663236
Jerry Sotos,0.2,0.4778841
Nolan Morgan,0.1,2.0040119
Gabriel Gonzalez,0.2,0.22560865
Henning Brown,0.8,1.911878
Tyler Davis,0.3,0.21883349
Mike Snook,1.1,1.4608628
Carlos Cejas,1.1,2.3338528
Henry Bolte,0.1,1.4227933
Jaylen Jackson,-0.1,0.21368515
Bobby Posada,1.3,0.6214411
Juan Soto,-1.0,-0.25692946
Jose Prats,3.4,2.7429633
Manny Guerrero,1.5,3.7798965
Carlos Madrigal,0.2,0.07211068
Brian Rogers,1.0,1.72216
Mike Weber,-0.4,0.9034042
Josh Land,3.3,3.9924173
Jorge Lazaro,1.6,0.20235868
Michael Petite,0.4,1.9336599
Choji Yamamoto,0.6,1.3453515
Alex Arredondo,2.3,1.9552604
Mike Lundholm,6.0,2.8644755
Jhostynxon Garcia,3.5,2.092207
Jack Suwinski,0.3,2.2087393
Jamie Rable,1.4,2.921584
Enrique Figueroa,1.7,0.70684433
Moises Reyes,6.9,2.2942817
Esmil Valencia,-0.4,2.2579315
Jordan Marquez,-0.2,0.4180257
Andy Pages,4.5,3.005952
Mike Tiensuu,3.3,2.3586082
Henning Brown,-0.4,1.916263
Sung-hyun Kim,0.3,1.2260537
Jonathan Cook,0.1,2.3267906
Jordan Elizalde,1.9,1.8323138
Yeremi Cabrera,0.6,2.6023662
Antony Peguero,1.3,0.71925664
Raul Hernandez,0.3,0.51158965
Oneil Cruz,-1.6,-0.37546593
Mark McDonald,0.1,1.1352222
Henry Bolte,1.3,1.8826302
Efrain Cervantes,1.2,1.8422196
David Johnson,1.1,-0.40389028
Francisco Martinez,7.9,5.6627345
