Name,Actual_WAR,Predicted_WAR
Brayan Rocchio,0.1,1.6148397
Carlos Salinas,8.9,9.081859
Luis Lobato,4.9,3.484523
Jordan Calderon,-1.4,0.25773636
Edwin Arroyo,-0.1,1.8946084
Brad McCubbin,2.4,1.9754587
Carlos Salinas,10.8,8.826355
Jonathan Valdez,1.1,1.8493792
Eli Willits,2.6,0.80293983
Jacob Wilson,0.7,0.5942123
Tom Heyer,5.3,5.278713
Luis Rosario,4.1,4.3458624
Dave Martinez,0.1,0.08917725
Masyn Winn,6.0,5.834413
Bradley Moy,0.6,0.63309985
Antonio Borrell,1.9,1.1354822
John Ratliff,2.2,0.61618334
Bo Bichette,-1.4,0.2197091
Antonio Armenta,-0.6,0.8509751
Matt Arguelles,-0.3,-0.13411662
Ricky Bush,0.3,-0.12809306
Felix Morrobel,-0.1,0.22508247
Matt Jablonsky,-0.6,1.8299831
David Virgen,-0.2,1.3701644
Billy Churchill,2.2,0.7752552
Bobby Baldizon,1.5,-0.020563465
Tomas Barrientos,0.3,2.2501652
Keith Webber,0.8,1.0006503
Antonio Armenta,-0.1,0.35476127
Danny Acevedo,1.1,0.048395157
Dante Johnson,2.0,1.2161607
Alex Garcia,0.2,0.8990652
Marcelo Mayer,-1.0,1.8111788
Brayan Rocchio,0.5,2.0662549
Mike Bontrager,2.8,1.3212701
Greg Loucks,-0.1,-0.07045769
Mario Mogrovejo,1.1,2.6730866
David Beltran,3.3,2.5579488
Chase Clouse,-0.1,0.015027661
Ricky Alcala,0.9,0.81225723
Pedro Alvarenga,0.9,3.42087
Greg Lakner,-0.1,0.6683288
Korey Tomazin,1.3,1.5346507
Branden Reeves,-0.3,1.1522343
Lorenzo Alfonseca,2.3,4.302487
Masyn Winn,3.0,3.5043564
Elvis Erickson,-0.3,1.0467919
Junior Caminero,1.4,0.98962873
Gabriel Arias,3.3,2.668947
Kevin Made,1.5,2.4109812
Koen Gaskell,3.8,6.3273983
Ken Wright,0.2,1.5197129
Darrin Lovejoy,1.0,0.6798755
Dante Johnson,1.7,0.42039412
Fabian Lopez,1.8,1.4507645
John Canida,8.6,5.9239345
Ken Wright,0.3,1.5199409
Amadeo Muginstein,10.3,6.9199815
Theo Gillen,0.3,2.6548967
Cristian Hernandez,-0.1,2.3628628
Mike Nazaruk,-0.4,0.31481048
Steven Ondina,0.3,-0.019742707
Gabriel Grajeda,1.6,3.0726795
Tom Tamburino,-0.3,-0.21209309
Javier Baez,2.2,1.0774469
Ryan Currier,-0.2,1.9675986
Joe Birch,1.4,1.3991416
Tim West,2.6,3.8633723
Ilia Bunjaku,3.5,3.3956404
Alex Harrington,3.9,4.1129684
Jordan Lawlar,1.1,2.307317
Jeremy Kent,1.2,2.2229266
Aaron Soule,0.4,-0.53338146
Gavin Klingelhoefer,2.9,3.5993047
Carlos Salinas,7.7,8.254507
Mike Phillips,-0.4,0.013217352
Byron Russell,-0.2,0.14521955
Yasahiko Nishiyama,-0.1,0.6742123
Tony Mori,0.3,0.8288348
Conan Varga,0.9,-0.37305722
Chris Surette,0.9,0.886368
Trea Turner,-0.3,-1.1110661
Tim Newton,-0.4,0.74871814
Cole Young,-0.1,-0.66605496
Korey Tomazin,1.1,1.0142453
Justin Diallo,0.2,2.1247995
Cameron Cauley,0.7,1.2319379
Aubrey Chappell,2.4,4.0879254
Omero Arnoldi,0.9,1.0848359
Cole Young,5.0,5.0448575
Edwin Arroyo,-0.1,1.2547563
Jonathan Funk,3.6,3.7821558
Brandon Deardorff,-0.2,-0.24450377
Mike Plumley,3.0,2.6584408
Do-hyun Kim,8.8,6.299343
Javier Reyes,2.9,3.7340918
Juan Hernandez,6.5,3.816524
Russell Davidson,-0.1,-0.18913004
Juan Fernandez,0.3,1.7017418
Franklin Arias,3.2,4.1616464
Luis Rosario,4.9,4.769073
Carson Williams,0.6,0.8460133
Pedro Alvarenga,1.7,1.7028458
Bill Ray,-0.1,0.07657185
Emmanuel Sanchez,0.8,2.3284047
Angel Fuentes,0.3,-0.118527666
Pedro Alvarenga,0.1,2.838804
Bill Draghi,3.5,1.9323951
Do-hyun Kim,6.3,6.073815
Jordan Calderon,4.1,2.8178198
Josh Hood,1.0,0.6447035
Joey Cain,-0.4,0.55536115
Tommy Wilson,3.9,2.6725307
Willie Velazquez,0.7,2.1248918
Kyle Vincent,0.1,0.33307076
Alvaro Sosa,2.7,3.5084367
Cole Young,0.5,-0.6620649
Cole Young,5.7,6.535821
David Virgen,2.9,1.2517574
Mike Phillips,-0.4,0.17651676
Rich May,0.1,1.0327991
Elian Peña,-1.0,-0.62669975
Carlos Salinas,9.7,9.88777
Tony Mori,0.7,0.825944
Pat Brower,-0.5,0.1977468
Jesus Villalva,3.2,2.8891823
Elvis Erickson,0.9,0.97118396
Maddox Molony,-0.1,1.8610017
Victor Segoviano,0.6,1.746356
Josh Knighton,2.3,3.6900349
Roberto Cantu,1.9,1.2214493
Joe Birch,1.3,2.157907
Billy Churchill,0.3,0.39143085
Dave Hernandez,1.7,1.2302157
Masyn Winn,-0.7,0.61806834
Joey Ortiz,1.0,0.9275605
Manny Cuahuizo,1.2,1.8718858
Jordan Calderon,4.3,3.4290967
Steve Scarberry,3.6,2.7914662
Branden Reeves,0.8,1.101529
Aroon Escobar,-0.9,0.6938512
Isaiah Dabney,0.9,0.5254054
Beau Sizemore,0.5,1.4086834
Jason Mansi,-0.5,-0.09937908
Steve Mosier,4.1,4.4090805
Geraldo Perdomo,2.0,2.2877364
Antero Ribafria,2.9,3.521467
Allen Glick,2.0,1.5393927
Oscar Alvarez,1.4,1.0267675
Gabriel Grajeda,0.3,3.3376412
Bobby Santizo,0.6,2.0315006
Mason McCoy,0.1,0.93406266
Danny Johnson,0.9,0.3762181
Jorge Tejeda,2.7,2.3324456
Pedro Lopez,1.0,4.7150006
Oscar Alvarez,0.1,1.0299212
Jake Bratvold,-0.1,-0.08582449
Gunnar Henderson,3.2,3.5131989
Nick Navarre,0.7,0.9815532
Rich May,2.2,3.6579237
Felix Morrobel,0.8,1.9030739
Jimmy Patten,4.4,3.0413775
Eli Willits,2.4,0.9071081
Victor Arriaga,0.1,-0.30124316
Do-hyun Kim,6.9,5.903688
Jason Porter,0.3,2.170234
Steve Kane,0.6,0.17374988
Kennie Vargas,3.7,1.5456086
Isaiah Dabney,1.3,-1.0739596
Marek Houston,1.9,0.8329831
Cristopher Polanco,3.7,2.944511
Gavin Klingelhoefer,2.5,3.7839878
David Scheffler,-0.7,0.7033901
Alex Harrington,-0.4,0.050569426
Kennie Vargas,2.8,1.7753967
Bryan Underwood,0.4,0.18578498
Rafael Seballos,1.9,2.4239745
Wei Ban,0.3,0.2062799
Doug Nelson,-0.1,1.2291172
Billie Ricard,4.5,1.739258
Javier Reyes,4.3,5.0025797
Jeremy Kent,3.3,3.3684144
Marcos Hammer,4.4,3.562497
Fernando Vallejo,1.6,2.8286223
Bob de Jesus,-0.3,0.2931281
Gabriel Arias,2.8,2.788203
John Battcher,1.8,3.351512
Brayan Rocchio,-0.1,0.37684432
Willy Adames,-0.3,0.534888
Daniel Valadez,0.4,0.2940835
Adam Conner,0.8,0.48539057
Lorenzo Alfonseca,3.9,1.5149537
Orlando Castanon,1.5,1.4755858
Mario Sanchez,0.1,0.23472455
Antonio Borrell,-1.7,0.632676
Oscar Alvarez,2.4,0.88535196
Jason Mansi,1.3,0.62412983
Cole Young,4.0,4.8792515
Bill Contreras,4.5,3.3035774
Danny Perez,1.8,3.8891804
Alex Harrington,5.8,4.621868
Cooper Pratt,4.0,1.7847283
Manny Alvarez,1.9,1.3756278
Miguel Juarez,0.1,1.1018159
Franklin Arias,2.2,2.9574983
Bryan Tew,1.3,0.9948012
Justin Kincaid,0.1,0.7717787
Dave Hernandez,1.5,1.1406555
Alex Lodise,1.1,2.2110014
Clancy Lewis,3.0,2.2441542
Daniel Pierce,-0.1,0.81930697
Quentin Young,4.8,2.308963
Renato Toscanelli,-0.1,1.0702435
Tom Tamburino,0.1,-0.2344225
Manny Cuahuizo,-0.6,1.1856322
Victor Segoviano,1.8,1.6595249
Darrin Lovejoy,0.4,0.10351171
Ricky Alcala,-0.6,1.0541155
Cole Young,5.7,3.35097
Pat Polster,1.7,2.6612349
David Beltran,5.6,2.1959465
David Hamilton,1.1,1.502457
Vicente Diego,4.2,3.494034
Tomas Jimenez,4.2,3.9152744
Mike Nazaruk,-0.8,0.9638788
Bobby del Cid,0.3,1.0207994
Luis Lopez,-0.4,0.80363375
Joey Ortiz,-0.2,2.0494533
Jeremy Kent,1.2,0.79812914
Jefferson Rojas,1.1,1.4887168
Amadeo Muginstein,4.8,7.1709375
Danny Gonzalez,0.6,1.0948566
Billie Ricard,4.6,1.7360097
David Scheffler,-0.1,-0.04801044
Ben Scritchfield,1.5,2.3223193
Osamu Nakahara,0.6,1.0437542
Glenn Dial,3.7,2.4168193
Vicente Diego,4.3,3.735877
Kennie Vargas,2.3,1.6428069
Travis Latzig,2.9,3.8605478
Tom Tamburino,0.9,0.26828396
Brayan Rocchio,-0.4,1.5832777
Steve Mosier,0.1,2.053569
Koen Gaskell,8.4,8.606061
Korey Tomazin,-0.4,0.114954814
Gavin Klingelhoefer,5.9,2.8196025
Caleb Neu,0.8,0.67061716
Ethan Bass,0.8,1.6271847
Jordan Calderon,2.3,3.5154715
Jordan Calderon,5.4,3.1509738
Billie Ricard,-0.6,0.0060444074
Jonathan Funk,3.9,4.0560684
Oscar Alvarez,1.4,1.1105622
Tomas Barrientos,-0.1,2.2839472
Marcos Hammer,3.7,4.951171
Phil Hicks,1.4,0.7051628
Victor Anaya,-0.1,1.456757
Matt Novelli,3.3,2.4387467
Jesus Villalva,2.5,1.6049265
Billie Ricard,4.0,3.6267831
Wei Ban,-0.4,0.7590966
