//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,Nation,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,Unnamed: 121,PIT,SP_Rating,SP_Rating_Normalized,RP_Rating,RP_Rating_Normalized,CL_Rating,CL_Rating_Normalized
Snapshot RP George Zuverink BAL 1958,70594,69,7,,,,1958,N,Baltimore Orioles,BAL,Zuverink,George,,The United States,35,20,8,1924,1,1,1,12,3,4,2,2,1,1,3,4,2,3,1,1,3,4,2,2,1,1,0,0,0,6,3,6,8,25,44,36,94,93,102,79,32,73,117,72,76,38,121,77,140,83,33,0,33,0,0,46,0,0,0,0,0,0,25,36,2,0.0,3,193,35,20,26,23,0,0,0,1,4,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,zuverge01,26,75,81,2115,2025-03-14,,12,59.4104818996026,60.408550403164355,46.17190075243802,47.563304013498275,47.104970078381314,49.39076234361281
Snapshot RP Sam Zoldak CLE 1949,70549,51,7,,,,1949,N,Cleveland,CLE,Zoldak,Sam,Sad Sam,The United States,20,8,12,1918,2,2,1,12,3,2,3,2,1,1,5,1,3,4,3,3,3,3,3,2,1,1,1,1,0,7,4,11,7,30,41,33,75,75,67,92,40,87,92,87,88,30,72,70,62,93,34,0,33,32,0,0,0,0,0,0,0,0,24,115,1,0.0,3,183,33,69,42,23,0,0,0,9,9,8,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,zoldasa01,0,32,55,371,2025-03-14,,12,48.599537944685174,49.000710961356965,44.75322998006459,46.03422663200597,41.878272505356016,43.76553774705362
Rivalry Week - Snapshot SP Barry Zito SF 2007,73499,70,7,,,Rivalry Week,2007,N,San Francisco Giants,SFG,Zito,Barry,,The United States,75,13,5,1978,2,2,1,11,5,8,1,8,5,2,5,8,1,5,6,1,6,8,1,10,5,3,0,2,0,5,5,6,5,45,39,61,103,75,87,136,88,111,84,93,149,54,101,73,86,132,59,46,63,90,0,72,0,0,0,0,0,0,68,106,2,0.0,3,188,26,30,26,23,0,0,0,1,6,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,0,zitoba01,750,1234,1957,45777,2025-05-15,,12,68.53839546236995,70.04043572205751,66.25610732012215,69.21054351818391,62.99083123840341,66.48789407667321
Historical All-Star SP Jordan Zimmermann WAS 2013,70284,84,5,,,,2013,N,Washington Nationals,WSN,Zimmermann,Jordan,J Z,The United States,27,23,5,1986,1,1,1,11,5,9,4,7,4,2,5,5,2,8,4,2,6,11,5,7,5,3,2,1,0,5,5,6,5,70,13,59,96,98,86,116,52,91,98,83,109,67,99,98,89,121,62,73,67,71,0,0,0,0,0,0,0,0,77,42,2,0.0,3,188,27,25,25,23,0,0,0,5,2,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,0,zimmejo02,0,1394,2250,12734,2025-03-14,,12,65.85426599843223,67.20810969268258,61.52729567554592,64.1137169197463,60.879800496288766,64.21590074078131
Historical All-Star 2B Don Zimmer CHC 1961,71286,50,5,,,,1961,N,Chicago Cubs,CHC,Zimmer,Don,Popeye,The United States,17,17,1,1931,1,1,4,0,60,109,69,47,75,47,58,67,46,52,83,32,61,131,77,46,72,53,1,0,0,59,32,76,73,34,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,15,3,0,0,0,0,0,0,0,0,1,18,2,0.0,3,175,50,54,44,59,0,0,0,8,2,7,0,0,0,48,5,0,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0,zimmedo01,0,37,44,402,2025-03-14,,12,3.5561263451713847,1.4703556490652272,4.0083800391676006,2.1184502093391178,2.3940227436629993,1.270679410032542
MLB 2025 Live RP Angel Zerpa KC,72033,61,1,,,,2025,N,Kansas City Royals,KCR,Zerpa,Angel,,Venezuela,61,27,9,1999,2,2,1,12,21,11,1,19,27,11,21,11,1,19,27,11,23,12,1,20,28,12,0,0,0,14,15,7,19,41,17,66,66,78,64,70,73,69,82,67,73,64,65,78,64,68,84,71,65,53,0,67,0,0,0,0,0,0,25,60,0,0.0,3,183,33,56,50,33,3,3,4,33,30,14,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,1,2,0,1,zerpaan01,0,68,41,0,2025-03-14,,12,54.542406525125045,55.27169810846753,51.51067170121343,53.317559378246074,49.39446078764373,51.85482292324229
All-Time Legend 2B Rollie Zeider CWS Peak,71418,56,4,,,,1910,Y,Chicago White Sox,CHW,Zeider,Rollie,Bunions,The United States,15,16,11,1883,1,1,4,0,65,52,30,80,98,36,65,52,29,92,93,41,65,53,31,78,100,35,1,0,0,75,88,89,69,93,100,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0.0,3,178,91,56,71,82,0,0,0,5,8,4,0,0,56,94,75,75,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,zeidero01,6,33,37,341,2025-03-14,,12,3.965448626586975,1.9022774947260224,4.0334721686694435,2.1454951082838916,2.434589809878048,1.3143396477820648
MLB 2025 Live RP Ryan Zeferjahn LAA,73428,44,1,,,,2025,N,Los Angeles Angels,ANA,Zeferjahn,Ryan,,The United States,56,28,2,1998,1,1,1,12,13,18,1,9,9,16,14,19,2,10,10,17,13,18,1,9,9,16,2,2,0,13,5,16,17,38,17,79,58,53,47,80,73,54,53,44,74,87,63,54,51,89,104,88,0,0,78,0,0,0,0,0,0,0,23,52,3,0.0,3,196,26,61,44,28,1,1,1,34,18,53,87,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,8,0,1,0,1,zeferry01,7,147,107,0,2025-05-05,,12,49.242790209480745,49.679478568327035,44.74189293283787,46.02200729061622,49.56773549601962,52.04130954082432
Snapshot RF Al Zarilla BOS 1949,70821,58,7,,,,1949,N,Boston Red Sox,BOS,Zarilla,Al,Zeke,The United States,14,1,5,1919,2,1,9,0,69,112,65,71,77,62,89,78,43,80,78,97,64,128,73,68,77,54,2,1,0,51,42,58,69,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0.0,4,180,7,7,1,6,0,0,0,50,81,52,0,0,0,0,0,0,18,3,50,0,0,0,0,0,1,1,1,2,0,1,0,1,zarilal01,0,28,38,666,2025-03-14,,12,2.9067749624441204,0.7851521787337753,2.9659132173182643,0.9948544679683325,1.9707804582856596,0.8151656021749983
Unsung Heroes SP Paul Zahniser BOS 1926,70398,48,8,,,,1926,N,Boston Red Sox,BOS,Zahniser,Paul,,The United States,12,6,9,1896,1,1,1,11,3,3,1,5,1,1,3,2,1,4,1,1,4,4,2,6,1,2,0,2,0,10,5,6,16,22,52,39,68,56,74,56,33,77,62,91,51,45,63,52,65,59,46,40,47,0,0,0,0,37,0,0,0,0,67,81,2,0.0,2,183,33,20,25,23,0,0,0,2,9,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,zahnipa01,0,16,12,305,2025-03-14,,12,44.14027729762889,44.29524493517806,43.135618850712376,44.29072656270898,39.69974460421125,41.420900705672864
