//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,Nation,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vL,CON vR,GAP vR,POW vR,EYE vR,K vR,BA vR,GB Hitter Type,FB Hitter Type,BattedBallType,SPE,Steal Rate,STE,Baserunning,BUN,BFH,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,IF RNG,IF ERR,IF ARM,TDP,C ABI,C FRM,C ARM,OF RNG,OF ERR,OF ARM,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,Unnamed: 121,Raw_Rating_C,Rating_C,Raw_Rating_1B,Rating_1B,Raw_Rating_2B,Rating_2B,Raw_Rating_3B,Rating_3B,Raw_Rating_SS,Rating_SS,Raw_Rating_LF,Rating_LF,Raw_Rating_CF,Rating_CF,Raw_Rating_RF,Rating_RF,Raw_Rating_All_Positions,Rating_All_Positions
Snapshot RP George Zuverink BAL 1958,70594,69,7,,,,1958,N,Baltimore Orioles,BAL,Zuverink,George,,The United States,35,20,8,1924,1,1,1,12,3,4,2,2,1,1,3,4,2,3,1,1,3,4,2,2,1,1,0,0,0,6,3,6,8,25,44,36,94,93,102,79,32,73,117,72,76,38,121,77,140,83,33,0,33,0,0,46,0,0,0,0,0,0,25,36,2,88-90,3,193,35,20,26,23,0,0,0,1,4,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,zuverge01,26,69,80,2115,2025-03-14,,2.0223297814391215,0.4605026025822991,2.5780039798383085,0.539607393714347,19.73904444250669,12.88760352435909,6.18513933113707,1.2461733076071368,15.441459341521915,8.587553183789872,2.47602219039236,0.455219581792185,2.828893440437005,0.3747043320206909,2.146551721486801,0.3950185803700638,3.7569945383236107,0.8707710073145285
Snapshot RP Sam Zoldak CLE 1949,70549,51,7,,,,1949,N,Cleveland,CLE,Zoldak,Sam,Sad Sam,The United States,20,8,12,1918,2,2,1,12,3,2,3,2,1,1,5,1,3,4,3,3,3,3,3,2,1,1,1,1,0,7,4,11,7,30,41,33,75,75,67,92,40,87,92,87,88,30,72,70,62,93,34,0,33,32,0,0,0,0,0,0,0,0,24,115,1,88-90,3,183,33,69,42,23,0,0,0,9,9,8,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,zoldasa01,0,23,55,371,2025-03-14,,2.7596407516249433,1.1275863952021894,3.2705798923810505,1.0691308602939475,19.086780031745157,12.273532841658316,7.334741947005298,2.2031580105619657,17.060619148628817,10.059523689104708,4.3987044835249955,2.0737829633332514,6.638071739514729,3.7685169485385868,4.74376591513322,2.6139193917846444,4.717471786997382,1.6916947298936866
Rivalry Week - Snapshot SP Barry Zito SF 2007,73499,70,7,,,Rivalry Week,2007,N,San Francisco Giants,SFG,Zito,Barry,,The United States,75,13,5,1978,2,2,1,11,5,8,1,8,5,2,5,8,1,5,6,1,6,8,1,10,5,3,0,2,0,5,5,6,5,45,39,61,103,75,87,136,88,111,84,93,149,54,101,73,86,132,59,46,63,90,0,72,0,0,0,0,0,0,68,106,2,89-91,3,188,26,30,26,23,0,0,0,1,6,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,0,zitoba01,224,1158,879,45777,2025-05-15,,2.889871944752298,1.245413366102832,3.853124191622258,1.514527344901476,15.756046560412504,9.13783243720481,7.004541674931561,1.9282833669900779,13.389660076105315,6.722272197772609,3.2905082122858507,1.1408748533482314,3.8265783738471626,1.263598326596113,3.0720487805297236,1.1857066107588743,5.035935538231174,1.9638869640464027
Historical All-Star SP Jordan Zimmermann WAS 2013,70284,84,5,,,,2013,N,Washington Nationals,WSN,Zimmermann,Jordan,J Z,The United States,27,23,5,1986,1,1,1,11,5,9,4,7,4,2,5,5,2,8,4,2,6,11,5,7,5,3,2,1,0,5,5,6,5,70,13,59,96,98,86,116,52,91,98,83,109,67,99,98,89,121,62,73,67,71,0,0,0,0,0,0,0,0,77,42,2,91-93,3,188,27,25,25,23,0,0,0,5,2,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,0,zimmejo02,1333,1800,1788,12734,2025-03-14,,4.3690010545611635,2.5836588232362105,5.44988477460847,2.7353642003102214,16.77515950225489,10.097270618441323,8.355125148404912,3.0525742361452903,14.575894918396566,7.800672669773848,5.4160048179556775,2.930172537013792,6.059733737765059,3.2532428781636185,5.298301170723275,3.087680366754227,6.615148708910262,3.3136467387938033
Historical All-Star 2B Don Zimmer CHC 1961,71286,50,5,,,,1961,N,Chicago Cubs,CHC,Zimmer,Don,Popeye,The United States,17,17,1,1931,1,1,4,0,60,109,69,47,75,47,58,67,46,52,83,32,61,131,77,46,72,53,1,0,0,59,32,76,73,34,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,15,3,0,0,0,0,0,0,0,0,1,18,2,90-92,3,175,50,54,44,59,0,0,0,8,2,7,0,0,0,48,5,0,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0,zimmedo01,0,18,42,402,2025-03-14,,50.57432816533427,44.38803458144445,64.90534628800832,48.19328659913832,55.622694927950825,46.670065648371384,66.03412847653392,51.06736048035746,57.796071756145786,47.091930555758424,58.82447297906131,47.890794028421126,46.1391202978806,38.96223759835077,52.67216423439929,43.5610088465479,67.0350634758851,54.95478807442504
MLB 2025 Live RP Angel Zerpa KC,72033,61,1,,,,2025,N,Kansas City Royals,KCR,Zerpa,Angel,,Venezuela,61,27,9,1999,2,2,1,12,21,11,1,19,27,11,21,11,1,19,27,11,23,12,1,20,28,12,0,0,0,14,15,7,19,41,17,66,66,78,64,70,73,69,82,67,73,64,65,78,64,68,84,71,65,53,0,67,0,0,0,0,0,0,25,60,0,96-98,3,183,33,56,50,33,3,3,4,33,30,14,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,1,2,0,1,zerpaan01,0,40,46,0,2025-03-14,,8.662167371571387,6.46791090262324,10.784387577035195,6.813970408326829,23.93020654822403,16.833349655997104,16.463580886552446,9.802444146743108,23.50783579509271,15.92065778057312,14.098650532104115,10.239446907517225,21.14755001660766,16.695832650146173,15.95075456657758,12.188484428829595,11.603018002646959,7.576798452180583
All-Time Legend 2B Rollie Zeider CWS Peak,71418,56,4,,,,1910,Y,Chicago White Sox,CHW,Zeider,Rollie,Bunions,The United States,15,16,11,1883,1,1,4,0,65,52,30,80,98,36,65,52,29,92,93,41,65,53,31,78,100,35,1,0,0,75,88,89,69,93,100,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,1,24,2,90-92,3,178,91,56,71,82,0,0,0,5,8,4,0,0,56,94,75,75,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,zeidero01,6,29,32,341,2025-03-14,,38.047832614605774,33.05465897995278,50.55223029598881,37.219310174793314,73.1532053455592,63.17406666793565,58.0714014564379,44.438802188254165,66.57055346429036,55.06877028283337,40.32809621248803,32.32006857237864,35.681067883377565,29.644566583281897,37.558787665017945,30.649065112738242,55.717211085744246,45.281374645273004
MLB 2025 Live RP Ryan Zeferjahn LAA,73428,44,1,,,,2025,N,Los Angeles Angels,ANA,Zeferjahn,Ryan,,The United States,56,28,2,1998,1,1,1,12,13,18,1,9,9,16,14,19,2,10,10,17,13,18,1,9,9,16,2,2,0,13,5,16,17,38,17,79,58,53,47,80,73,54,53,44,74,87,63,54,51,89,104,88,0,0,78,0,0,0,0,0,0,0,23,52,3,97-99,3,196,26,61,44,28,1,1,1,34,18,53,87,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,8,0,1,0,1,zeferry01,8,101,90,0,2025-05-05,,5.165871294010776,3.3046290014284536,6.3731560077709775,3.4412706217196756,17.8169427550661,11.078051637189713,11.208097208145295,5.427525877210474,17.31282013991144,10.288798414767829,11.753934860989089,8.265604979005499,18.381424121211843,14.23133447610582,14.046975675289527,10.562012289193621,8.912471550388354,5.27717770383896
Snapshot RF Al Zarilla BOS 1949,70821,58,7,,,,1949,N,Boston Red Sox,BOS,Zarilla,Al,Zeke,The United States,14,1,5,1919,2,1,9,0,69,112,65,71,77,62,89,78,43,80,78,97,64,128,73,68,77,54,2,1,0,51,42,58,69,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,10,2,90-92,4,180,7,7,1,6,0,0,0,50,81,52,0,0,0,0,0,0,18,3,50,0,0,0,0,0,1,1,1,2,0,1,0,1,zarilal01,0,10,33,666,2025-03-14,,52.61689663108471,46.236053089124034,65.78418380442963,48.865220288756646,34.49042800570661,26.77521110494025,62.682833087060324,48.27758044807464,40.805533282086536,31.645912569480085,66.6225444600938,54.455411069375074,59.773061195427914,51.10948747692918,63.61419892273831,52.90921343740395,66.56323809870155,54.55151704892218
Unsung Heroes SP Paul Zahniser BOS 1926,70398,48,8,,,,1926,N,Boston Red Sox,BOS,Zahniser,Paul,,The United States,12,6,9,1896,1,1,1,11,3,3,1,5,1,1,3,2,1,4,1,1,4,4,2,6,1,2,0,2,0,10,5,6,16,22,52,39,68,56,74,56,33,77,62,91,51,45,63,52,65,59,46,40,47,0,0,0,0,37,0,0,0,0,67,81,2,88-90,2,183,33,20,25,23,0,0,0,2,9,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,zahnipa01,0,23,13,305,2025-03-14,,2.3048448160773685,0.7161087286258656,2.9716315443581824,0.8405636192067917,19.016192994576013,12.20707907016759,6.494843258717386,1.503985804767777,15.020284757263287,8.20466536574017,3.065362067828205,0.9513410410195393,3.476173168904937,0.9514024901044489,2.7905347321406406,0.9451982414748817,4.3287771380421916,1.3594758682730788
